,MVSA_GPR_greedy,Greedy Acquisition,Random Sampling
0,3636.699411392212,4.927489757537842,2.5180952548980713
0,,,
0,3644.97216963768,4.943906784057617,2.5255544185638428
0,,,
0,3639.609039783478,4.937912225723267,2.5233154296875
0,,,
0,3633.7186160087585,4.991187572479248,2.5184457302093506
0,,,
0,3640.8723969459534,4.9423487186431885,2.5135445594787598
0,,,
0,3642.0758786201477,5.012776136398315,2.514357328414917
0,,,
0,3634.1003596782684,4.8918235301971436,2.516240119934082
0,,,
0,3648.3573083877563,4.934874773025513,2.49446439743042
0,,,
0,3642.666556119919,4.964601278305054,2.5033507347106934
0,,,
0,3642.7147328853607,4.9892706871032715,2.5005710124969482
0,,,
