,MVSA_GPR_greedy,Greedy Acquisition,Random Sampling
0,2666.9789333343506,4.641246795654297,2.284662961959839
0,,,
0,2664.748528957367,4.655661344528198,2.3043575286865234
0,,,
0,2673.209403038025,4.6308581829071045,2.278198719024658
0,,,
0,2671.4511711597443,4.601869821548462,2.2652573585510254
0,,,
0,2673.0892856121063,4.624280691146851,2.2700746059417725
0,,,
0,2661.666818857193,4.55521821975708,2.2771506309509277
0,,,
0,2661.8330976963043,4.621636390686035,2.2730443477630615
0,,,
0,2662.5202095508575,4.562052249908447,2.2682271003723145
0,,,
0,2663.18811750412,4.679659366607666,2.2760753631591797
0,,,
0,2667.644057035446,4.588998317718506,2.2688207626342773
0,,,
