,MVSA_GPR_greedy,Greedy Acquisition,Random Sampling
0,1159.188268661499,4.057430982589722,1.6763010025024414
0,,,
0,1151.5561323165894,4.049327850341797,1.6647295951843262
0,,,
0,1150.7510755062103,4.042703866958618,1.66609787940979
0,,,
0,1153.1926198005676,4.0559704303741455,1.6710271835327148
0,,,
0,1155.4393932819366,4.013209819793701,1.6646733283996582
0,,,
0,1157.2605364322662,4.00222373008728,1.666057825088501
0,,,
0,1155.9932980537415,4.083653926849365,1.6657931804656982
0,,,
0,1160.3230180740356,4.034808397293091,1.6656806468963623
0,,,
0,1154.3187465667725,4.085417747497559,1.6613647937774658
0,,,
0,1159.3347594738007,4.055403470993042,1.6583833694458008
0,,,
