,MVSA_GPR_greedy,Greedy Acquisition,Random Sampling
0,69.63642907142639,2.6770853996276855,0.5719501972198486
0,,,
0,68.163987159729,2.644705295562744,0.5689561367034912
0,,,
0,70.69916725158691,2.5966453552246094,0.5686085224151611
0,,,
0,66.88475775718689,2.5766587257385254,0.5667674541473389
0,,,
0,69.93371272087097,2.6080522537231445,0.5656533241271973
0,,,
0,69.3047525882721,2.553201198577881,0.5647695064544678
0,,,
0,70.21730351448059,2.7307238578796387,0.5629396438598633
0,,,
0,71.29278826713562,2.5944173336029053,0.5611617565155029
0,,,
0,69.92881798744202,2.601071357727051,0.5623946189880371
0,,,
0,69.74511480331421,2.5914664268493652,0.5627272129058838
0,,,
