,MVSA_GPR_greedy,Greedy Acquisition,Random Sampling
0,2941.8666112422943,4.798185348510742,2.3246588706970215
0,,,
0,2937.2048394680023,4.7439656257629395,2.3289670944213867
0,,,
0,2944.0329852104187,4.72109317779541,2.3253085613250732
0,,,
0,2940.042944431305,4.742880821228027,2.314147472381592
0,,,
0,2933.5900418758392,4.737917900085449,2.3104560375213623
0,,,
0,2937.1852719783783,4.922363758087158,2.309791088104248
0,,,
0,2938.056535720825,4.71421217918396,2.322547197341919
0,,,
0,2950.1864335536957,4.712882995605469,2.3109488487243652
0,,,
0,2943.410496711731,4.725910186767578,2.308012008666992
0,,,
0,2937.674510717392,4.684832572937012,2.3090779781341553
0,,,
