,MVSA_GPR_greedy,Greedy Acquisition,Random Sampling
0,0.011501210653753027,0.011501210653753027,0.011501210653753027
1,0.1162227602905569,0.08353510895883777,0.029055690072639227
2,0.21004842615012106,0.1761501210653753,0.04418886198547216
3,0.2711864406779661,0.2457627118644068,0.05750605326876514
4,0.32082324455205813,0.2838983050847458,0.07566585956416465
5,0.36561743341404357,0.3202179176755448,0.0841404358353511
6,0.3910411622276029,0.3559322033898305,0.09745762711864407
0,,,
0,0.018765133171912834,0.018765133171912834,0.018765133171912834
1,0.05871670702179177,0.04963680387409201,0.03631961259079903
2,0.15012106537530268,0.10835351089588378,0.05447941888619855
3,0.24394673123486682,0.1761501210653753,0.06295399515738499
4,0.3075060532687651,0.24757869249394673,0.07566585956416465
5,0.3553268765133172,0.30145278450363194,0.08656174334140436
6,0.387409200968523,0.34443099273607747,0.1059322033898305
0,,,
0,0.011501210653753027,0.011501210653753027,0.011501210653753027
1,0.08595641646489104,0.06900726392251816,0.0211864406779661
2,0.17009685230024213,0.1513317191283293,0.03753026634382567
3,0.23365617433414043,0.22276029055690072,0.0526634382566586
4,0.28753026634382567,0.2675544794188862,0.06053268765133172
5,0.33232445520581116,0.3159806295399516,0.07990314769975787
6,0.36803874092009686,0.3486682808716707,0.09140435835351089
0,,,
0,0.013317191283292978,0.013317191283292978,0.013317191283292978
1,0.0599273607748184,0.0526634382566586,0.027239709443099273
2,0.14285714285714285,0.12893462469733658,0.04297820823244552
3,0.22699757869249396,0.22033898305084745,0.06234866828087167
4,0.2851089588377724,0.274818401937046,0.0774818401937046
5,0.3274818401937046,0.32082324455205813,0.0950363196125908
6,0.3668280871670702,0.35411622276029053,0.11016949152542373
0,,,
0,0.010895883777239709,0.010895883777239709,0.010895883777239709
1,0.06234866828087167,0.05447941888619855,0.029661016949152543
2,0.162227602905569,0.137409200968523,0.044794188861985475
3,0.2324455205811138,0.22397094430992737,0.06053268765133172
4,0.28753026634382567,0.28026634382566584,0.07687651331719128
5,0.3389830508474576,0.32566585956416466,0.09745762711864407
6,0.37590799031476996,0.3577481840193705,0.10835351089588378
0,,,
0,0.01694915254237288,0.01694915254237288,0.01694915254237288
1,0.0950363196125908,0.06537530266343826,0.03268765133171913
2,0.19491525423728814,0.16404358353510895,0.04600484261501211
3,0.2796610169491525,0.23547215496368037,0.0635593220338983
4,0.326271186440678,0.2851089588377724,0.07627118644067797
5,0.3734866828087167,0.326271186440678,0.08837772397094432
6,0.40314769975786924,0.3686440677966102,0.10835351089588378
0,,,
0,0.013922518159806295,0.013922518159806295,0.013922518159806295
1,0.051452784503631964,0.043583535108958835,0.029055690072639227
2,0.15556900726392253,0.08898305084745763,0.04116222760290557
3,0.24213075060532688,0.1549636803874092,0.056295399515738496
4,0.3026634382566586,0.22518159806295399,0.07445520581113801
5,0.3523002421307506,0.2784503631961259,0.09140435835351089
6,0.38256658595641646,0.3177966101694915,0.11077481840193705
0,,,
0,0.016343825665859565,0.016343825665859565,0.016343825665859565
1,0.0526634382566586,0.05569007263922518,0.029661016949152543
2,0.1549636803874092,0.12227602905569007,0.04600484261501211
3,0.2330508474576271,0.2009685230024213,0.06416464891041163
4,0.2857142857142857,0.27602905569007263,0.0774818401937046
5,0.33292978208232443,0.3268765133171913,0.09382566585956416
6,0.36138014527845036,0.3662227602905569,0.10714285714285714
0,,,
0,0.013317191283292978,0.013317191283292978,0.013317191283292978
1,0.08898305084745763,0.08171912832929783,0.03389830508474576
2,0.20883777239709442,0.16646489104116222,0.048426150121065374
3,0.2651331719128329,0.2324455205811138,0.06416464891041163
4,0.31053268765133174,0.27300242130750607,0.07687651331719128
5,0.3619854721549637,0.3196125907990315,0.09019370460048426
6,0.3904358353510896,0.3523002421307506,0.10774818401937046
0,,,
0,0.017554479418886198,0.017554479418886198,0.017554479418886198
1,0.05569007263922518,0.05084745762711865,0.035108958837772396
2,0.1585956416464891,0.1343825665859564,0.0526634382566586
3,0.23668280871670702,0.20399515738498789,0.06900726392251816
4,0.29418886198547217,0.2736077481840194,0.08535108958837773
5,0.3347457627118644,0.32324455205811137,0.09987893462469734
6,0.3734866828087167,0.36380145278450365,0.11803874092009685
0,,,
