,MVSA_GPR_greedy,Greedy Acquisition,Random Sampling
0,4558.639049530029,5.1757636070251465,2.7403085231781006
0,,,
0,4530.11398601532,5.183840274810791,2.745772361755371
0,,,
0,4555.572208404541,5.13977837562561,2.738161087036133
0,,,
0,4557.139553785324,5.135501861572266,2.7405307292938232
0,,,
0,4559.20906996727,5.128511905670166,2.736048698425293
0,,,
0,4547.042118549347,5.13262152671814,2.7187819480895996
0,,,
0,4559.505147695541,5.242241621017456,2.721774101257324
0,,,
0,4556.728310823441,5.117445707321167,2.7284209728240967
0,,,
0,4555.401275396347,5.061820030212402,2.7234890460968018
0,,,
0,4574.319621086121,5.093626022338867,2.723017692565918
0,,,
