,MVSA_GPR_greedy,Greedy Acquisition,Random Sampling
0,0.015416238437821172,0.015416238437821172,0.015416238437821172
1,0.2011819116135663,0.18884892086330934,0.030318602261048305
2,0.2918807810894142,0.2975334018499486,0.046505652620760535
3,0.35996916752312436,0.38257965056526205,0.06526207605344296
4,0.43216855087358685,0.42754367934224047,0.07887975334018499
5,0.47918807810894143,0.4642857142857143,0.09609455292908531
6,0.5056526207605344,0.4971736896197328,0.1104830421377184
0,,,
0,0.012589928057553957,0.012589928057553957,0.012589928057553957
1,0.2091469681397739,0.19758478931140802,0.02800616649537513
2,0.29393627954779034,0.2880267214799589,0.041109969167523124
3,0.3723021582733813,0.34917780061664955,0.05472764645426516
4,0.43268242548818087,0.39696813977389517,0.06937307297019528
5,0.4802158273381295,0.4313977389516958,0.08478931140801645
6,0.5228674203494348,0.47687564234326824,0.09712230215827339
0,,,
0,0.017985611510791366,0.017985611510791366,0.017985611510791366
1,0.18319630010277493,0.16007194244604317,0.03263103802672148
2,0.2517985611510791,0.26387461459403905,0.045220966084275435
3,0.31680369989722507,0.31628982528263105,0.06217882836587873
4,0.4010791366906475,0.3676772867420349,0.07579650565262076
5,0.4624871531346352,0.42009249743062693,0.09249743062692703
6,0.5179856115107914,0.4694244604316547,0.10739979445015416
0,,,
0,0.014388489208633094,0.014388489208633094,0.014388489208633094
1,0.20554984583761562,0.210431654676259,0.02723535457348407
2,0.2954779033915725,0.29059609455292906,0.03905447070914697
3,0.3733299075025694,0.34506680369989723,0.052929085303186026
4,0.45940390544707094,0.39131551901336076,0.06654676258992806
5,0.5120760534429599,0.44013360739979446,0.08067831449126413
6,0.5449640287769785,0.4850976361767729,0.09326824254881809
0,,,
0,0.017728674203494346,0.017728674203494346,0.017728674203494346
1,0.19244604316546762,0.1775436793422405,0.03520041109969167
2,0.27929085303186024,0.28340184994861256,0.04881808838643371
3,0.34172661870503596,0.33838643371017474,0.06217882836587873
4,0.4265159301130524,0.39131551901336076,0.07399794450154162
5,0.4827852004110997,0.4367934224049332,0.08633093525179857
6,0.5167009249743063,0.4784172661870504,0.10380267214799589
0,,,
0,0.01567317574511819,0.01567317574511819,0.01567317574511819
1,0.2091469681397739,0.18782117163412126,0.0316032887975334
2,0.2795477903391572,0.28725590955806785,0.046505652620760535
3,0.3476361767728674,0.3448098663926002,0.06115107913669065
4,0.42034943473792397,0.3920863309352518,0.07579650565262076
5,0.4681397738951696,0.44116135662898254,0.09506680369989723
6,0.5020554984583762,0.4773895169578623,0.10817060637204522
0,,,
0,0.012589928057553957,0.012589928057553957,0.012589928057553957
1,0.19013360739979446,0.1564748201438849,0.024665981500513873
2,0.25770811921891057,0.2664439876670093,0.040596094552929084
3,0.32579650565262075,0.3234840698869476,0.05369989722507708
4,0.3936279547790339,0.38360739979445013,0.07142857142857142
5,0.45940390544707094,0.4295991778006166,0.08581706063720453
6,0.5159301130524152,0.4676258992805755,0.10174717368961973
0,,,
0,0.01695786228160329,0.01695786228160329,0.01695786228160329
1,0.1934737923946557,0.18627954779033915,0.03442959917780062
2,0.26952723535457346,0.2954779033915725,0.051130524152106886
3,0.3432682425488181,0.3579136690647482,0.06757451181911614
4,0.40210688591983557,0.4051901336073998,0.08273381294964029
5,0.45606372045220966,0.44681397738951695,0.0973792394655704
6,0.5089928057553957,0.4830421377183967,0.1130524152106886
0,,,
0,0.014131551901336074,0.014131551901336074,0.014131551901336074
1,0.20606372045220966,0.16546762589928057,0.030575539568345324
2,0.2795477903391572,0.2831449126413155,0.045734840698869475
3,0.3391572456320658,0.34275436793422404,0.06526207605344296
4,0.4039054470709147,0.38720452209660844,0.08119218910585817
5,0.46120246659815006,0.44295991778006166,0.09660842754367935
6,0.5169578622816033,0.5184994861253854,0.11485097636176773
0,,,
0,0.014131551901336074,0.014131551901336074,0.014131551901336074
1,0.19938335046248715,0.1641829393627955,0.02774922918807811
2,0.2803186022610483,0.26156217882836585,0.044964028776978415
3,0.355344295991778,0.3209146968139774,0.05806783144912641
4,0.4396197327852004,0.3830935251798561,0.07219938335046248
5,0.48766700924974304,0.43319630010277493,0.08607399794450155
6,0.525950668036999,0.48227132579650567,0.10149023638232271
0,,,
