,MVSA_GPR_greedy,Greedy Acquisition,Random Sampling
0,0.016404199475065617,0.016404199475065617,0.016404199475065617
1,0.09514435695538058,0.08005249343832022,0.03346456692913386
2,0.16994750656167978,0.14829396325459318,0.04921259842519685
3,0.2578740157480315,0.2152230971128609,0.06036745406824147
4,0.328740157480315,0.291994750656168,0.07742782152230972
5,0.3969816272965879,0.36023622047244097,0.09383202099737532
6,0.44422572178477693,0.40288713910761154,0.10695538057742782
0,,,
0,0.009186351706036745,0.009186351706036745,0.009186351706036745
1,0.07086614173228346,0.06299212598425197,0.022965879265091863
2,0.19816272965879264,0.16535433070866143,0.03543307086614173
3,0.29133858267716534,0.2736220472440945,0.0505249343832021
4,0.3746719160104987,0.349737532808399,0.0636482939632546
5,0.43963254593175854,0.42454068241469817,0.08267716535433071
6,0.5026246719160105,0.479002624671916,0.09776902887139108
0,,,
0,0.014435695538057743,0.014435695538057743,0.014435695538057743
1,0.12532808398950132,0.1010498687664042,0.030183727034120734
2,0.24278215223097113,0.18700787401574803,0.04330708661417323
3,0.35170603674540685,0.28083989501312334,0.0636482939632546
4,0.4238845144356955,0.3700787401574803,0.07742782152230972
5,0.4757217847769029,0.4468503937007874,0.09120734908136482
6,0.5275590551181102,0.4967191601049869,0.10564304461942257
0,,,
0,0.015091863517060367,0.015091863517060367,0.015091863517060367
1,0.07874015748031496,0.0688976377952756,0.03346456692913386
2,0.18044619422572178,0.1410761154855643,0.045931758530183726
3,0.27165354330708663,0.20931758530183728,0.06167979002624672
4,0.3458005249343832,0.2821522309711286,0.07414698162729659
5,0.4068241469816273,0.3484251968503937,0.08530183727034121
6,0.49015748031496065,0.4061679790026247,0.10564304461942257
0,,,
0,0.014435695538057743,0.014435695538057743,0.014435695538057743
1,0.10761154855643044,0.10498687664041995,0.02821522309711286
2,0.20406824146981628,0.1837270341207349,0.03346456692913386
3,0.30183727034120733,0.2664041994750656,0.04461942257217848
4,0.3963254593175853,0.33858267716535434,0.0636482939632546
5,0.45866141732283466,0.4061679790026247,0.07611548556430446
6,0.49868766404199477,0.4416010498687664,0.08727034120734908
0,,,
0,0.016404199475065617,0.016404199475065617,0.016404199475065617
1,0.10958005249343832,0.08333333333333333,0.02690288713910761
2,0.21653543307086615,0.16338582677165353,0.03805774278215223
3,0.2828083989501312,0.25131233595800523,0.05183727034120735
4,0.37729658792650916,0.3293963254593176,0.0662729658792651
5,0.44553805774278216,0.40879265091863515,0.08398950131233596
6,0.49343832020997375,0.4717847769028871,0.09973753280839895
0,,,
0,0.013123359580052493,0.013123359580052493,0.013123359580052493
1,0.1062992125984252,0.08464566929133858,0.030183727034120734
2,0.23818897637795275,0.19488188976377951,0.04265091863517061
3,0.34186351706036744,0.3038057742782152,0.05905511811023622
4,0.4015748031496063,0.36286089238845143,0.07283464566929133
5,0.44553805774278216,0.41010498687664043,0.08464566929133858
6,0.4862204724409449,0.45341207349081364,0.10039370078740158
0,,,
0,0.015091863517060367,0.015091863517060367,0.015091863517060367
1,0.1115485564304462,0.09645669291338582,0.030183727034120734
2,0.2053805774278215,0.19291338582677164,0.04921259842519685
3,0.29658792650918636,0.26706036745406825,0.05971128608923885
4,0.37073490813648297,0.31496062992125984,0.07086614173228346
5,0.4416010498687664,0.3510498687664042,0.08858267716535433
6,0.484251968503937,0.3851706036745407,0.10761154855643044
0,,,
0,0.010498687664041995,0.010498687664041995,0.010498687664041995
1,0.08267716535433071,0.06496062992125984,0.031496062992125984
2,0.17519685039370078,0.1437007874015748,0.04461942257217848
3,0.2769028871391076,0.24803149606299213,0.05708661417322835
4,0.38648293963254593,0.33727034120734906,0.06955380577427822
5,0.4409448818897638,0.410761154855643,0.08464566929133858
6,0.49606299212598426,0.4507874015748031,0.10170603674540682
0,,,
0,0.015748031496062992,0.015748031496062992,0.015748031496062992
1,0.09973753280839895,0.08661417322834646,0.02952755905511811
2,0.223753280839895,0.17979002624671916,0.04199475065616798
3,0.30249343832021,0.2795275590551181,0.0583989501312336
4,0.37926509186351703,0.35170603674540685,0.07480314960629922
5,0.46194225721784776,0.40091863517060367,0.08595800524934383
6,0.5249343832020997,0.458005249343832,0.0984251968503937
0,,,
