,MVSA_GPR_greedy,Greedy Acquisition,Random Sampling
0,3001.988627910614,4.758817434310913,2.35844087600708
0,,,
0,2992.4016726017,4.675648212432861,2.3364973068237305
0,,,
0,2981.0292658805847,4.733032464981079,2.336243152618408
0,,,
0,2976.6449825763702,4.745833873748779,2.2908716201782227
0,,,
0,2987.3184266090393,4.775699615478516,2.3271868228912354
0,,,
0,2982.436929702759,4.744919061660767,2.3326635360717773
0,,,
0,2988.6919782161713,4.7489259243011475,2.3227322101593018
0,,,
0,2977.03369808197,4.670565366744995,2.3158695697784424
0,,,
0,2998.415472984314,4.710320949554443,2.325268507003784
0,,,
0,2986.2429156303406,4.85308575630188,2.3213753700256348
0,,,
