PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,avPercentage
RESULT_TYPE,,,,,,,,FLOAT
RESULT_DESCR,,,,,,,,Percentage of the test compound readout over those of negative controls at a concentration of 10 uM.
RESULT_UNIT,,,,,,,,NONE
RESULT_ATTR_CONC_MICROMOL,,,,,,,,10
36,855767,4534,CC(CC1=CC(=C(C=C1)O)O)C(C)CC2=CC(=C(C=C2)O)O,Active,88,,,17.5
37,26661761,5227072,C1=CC=C(C=C1)CC(CCNCC2=CC=CC=C2)C3=CC=CO3,Active,88,,,17
38,51087851,12402750,C1=CC=C(C=C1)C2=CC(=[N+](C(=C2)C3=CC=CC=C3)CC4=CC=C(C=C4)Cl)C5=CC=CC=C5.[O-]Cl(=O)(=O)=O,Active,88,,,17
39,51087857,12627137,CC1=CC=CC=C1[N+]2=C(C=C(C=C2C3=CC=CC=C3)C4=CC=CC=C4)C5=CC=CC=C5.[O-]Cl(=O)(=O)=O,Active,88,,,16
40,4243033,6602913,COC1=CC=C(C=C1)NC2=CC=NC3=CC=CC=C32.Cl,Active,88,,,14.5
41,49678926,17367790,COC1=C(C=C(C=C1)CNCCC2=CC3=C(C=C2)OCO3)Br.C(=O)(C(=O)O)O,Active,88,,,16.5
42,17412074,2982245,CC(C(C1=CC=CC=C1)O)NCC2=C(C=C(C=C2)Cl)Cl.Cl,Active,88,,,15.5
43,14736452,2951909,COC1=CC=CC(=C1)NC2=NC3=CC=CC=C3C(=N2)NCC4CCCO4.Cl,Active,88,,,17.5
44,26657733,16242156,COC(=O)C1=C(SC2=C1CCC2)NC(=O)CCNCC3=CC=CO3.C(=O)(C(=O)O)O,Active,88,,,17.5
45,47198590,1377005,CSC1=CC=C(C=C1)CN2CCC(CC2)CC3=CC=CC=C3,Active,88,,,17.5
46,17412202,1378292,CN(CCC1=CC=CC=C1)CC2=CC(=C(C=C2)OCC3=CC=CC=C3)OC,Active,88,,,16.5
