PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Percentage
RESULT_TYPE,,,,,,,,FLOAT
RESULT_DESCR,,,,,,,,Percentage of the test compound readout over the 3SD of negative controls at a concentration of 10 uM
RESULT_UNIT,,,,,,,,NONE
RESULT_ATTR_CONC_MICROMOL,,,,,,,,10
36,24794849,715370,CC1=CC(=C(C(=C1)Cl)NC(=O)CS)C,Active,42,,,95.2
37,47196747,2972939,CCN1C2=C(C=C(C(=C2)NC(=O)C(C)C3=CC=CC=C3)Br)N(C1=O)CC,Active,42,,,94.9
38,49730174,3186789,CC1CCC2=C(C1)SC3=C2C(=NC=N3)SCC(=O)NC4=CC(=C(C=C4C(=O)O)OC)OC,Active,42,,,94.5
39,24829627,3715206,CCN1C(=O)C2=C(NC1=S)SC=C2C3=CC=CS3,Active,42,,,94.1
40,26730544,2810970,C1=CC=C(C=C1)C2=CC(=O)N3C(=N2)C(=C(N3)C(F)(F)F)C4=CC=CC=C4,Active,42,,,94.1
41,24806166,1728611,CCCCC1=CC=C(C=C1)NC(=O)CC(C)C,Active,42,,,94
42,49721937,16014365,CC(C)C1=NN=C(S1)NC(=O)C2=NC(=NC=C2Cl)S(=O)(=O)CC3=CC=CC=C3,Active,42,,,93.7
43,24792641,2792304,CC1CCC2=C(C1)SC3=C2C(=NC=N3)SCC(=O)C,Active,41,,,93.3
44,14732231,9550230,CCCCCC1=CC=C(C=C1)CC(=O)NN2C(=NC3=CC=CC=C3C2=O)C,Active,41,,,93.1
45,49679283,1471101,C1=CC(=CC=C1C2=NC3=C(C=C(C=C3)Br)C(=O)N2O)Cl,Active,41,,,92.9
46,24779349,3315146,C1=CC(=C(C=C1C2=NC3=C(C=C(C=C3)Cl)C(=O)N2O)Cl)Cl,Active,41,,,92.4
47,17409437,1487353,C1=CC(=CC(=C1)C(F)(F)F)C2=NC3=C(C=C(C=C3)Br)C(=O)N2O,Active,41,,,92.2
48,17510985,2272534,COC1=C(C=CC(=C1)/C=C\2/C(=O)NC(=S)S2)OS(=O)(=O)C3=CC=CC=C3,Active,40,,,91.1
49,16953120,748667,CC1=C(C(=O)N(N1)C2=CC=CC=C2)N=NC3=NC=CS3,Active,40,,,91
50,17386677,1791929,C=CCN(CC=C)C(=S)NC(=O)C1=CC=C(C=C1)C2=CC=CC=C2,Active,39,,,89
51,17386242,6011505,CCCCCCCCCCCC(=O)N/N=C/C1=CC=CO1,Active,39,,,88.4
52,24841373,3746307,CN1C(=O)C2=C(NC1=S)SC=C2C3=CC=CS3,Active,39,,,88
53,49721930,16446678,CCC1=NN=C(S1)NC(=O)C2=NC(=NC=C2Cl)S(=O)(=O)CC3=CC=CC=C3,Active,39,,,87.2
54,49669862,4529187,CC(C)(C)C1CCC2=C(C1)SC3=C2C(=O)N(C(=S)N3)C,Active,38,,,85.3
55,4256225,837064,C1=CC=C(C=C1)OC2=CC=C(C=C2)C(=O)NC3=CN=CC=C3,Active,38,,,85.1
56,47204641,6492105,CCCC(=O)NC1=CC=C(C=C1)NCC2=CC=C(S2)C,Active,38,,,85
57,49646648,917183,CC1=CC=C(C=C1)C(=O)SC2=CC=CC=CC2=O,Active,38,,,84.7
58,49666707,1471100,C1=CC(=CC(=C1)Cl)C2=NC3=C(C=C(C=C3)Br)C(=O)N2O,Active,37,,,84.4
59,7970964,3311904,CC(C)(C)N1C(=C2CSCC2=N1)NC(=O)CC3=CC=C(C=C3)F,Active,37,,,83.9
60,14727336,4177420,CC1=CC=C(C=C1)C2CC2C(=O)NNC(=S)NC3=CC(=CC=C3)Cl,Active,37,,,83.9
61,24832908,820765,CC1=CC=C(C=C1)C2=CSC(=S)N2,Active,37,,,83.9
62,49731815,16447016,CC1=CC(=CC=C1)CS(=O)(=O)C2=NC=C(C(=N2)C(=O)NC3=NN=C(S3)SC)Cl,Active,37,,,83.6
63,49722024,16446681,CSC1=NN=C(S1)NC(=O)C2=NC(=NC=C2Cl)S(=O)(=O)CC3=CC=CC=C3,Active,37,,,83.4
64,17414397,2227443,CCCCOC(=S)NC(=O)C1=C(C2=CC=CC=C2S1)Cl,Active,37,,,83.1
65,47200689,1870641,C1=CC=C(C=C1)OC2=CC=C(C=C2)NC(=S)NC3=CN=CC=C3,Active,37,,,83
66,49667700,3356561,CCC1(CC2=C(CO1)SC3=C2C(=S)NC(=N3)SC)C,Active,36,,,81.9
67,49648362,899068,CC1(CC2=C(CO1)SC3=C2C(=S)NC(=N3)SC)C,Active,36,,,81.7
68,7976811,2854424,CC1=C(C(NC(=O)N1)C2=CC(=CC=C2)O)C(=O)OC3CCCCCCC3,Active,36,,,81.6
69,7970319,5310181,CCC1=NC2=C(C(=N1)SCC(=O)N3CCC(CC3)C)C(=O)N(C(=O)N2C)C,Active,36,,,81.2
70,24832746,2673423,C1CC2=C(C1)C=C(C=C2)NC(=O)CC3=CC=CC=C3,Active,36,,,80.6
71,24818446,1475498,C1=CC(=CC(=C1)NC(=S)NC(=O)C2=CSN=N2)C(F)(F)F,Active,36,,,80.4
