PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Percentage
RESULT_TYPE,,,,,,,,FLOAT
RESULT_DESCR,,,,,,,,Percentage of the test compound readout over the 3SD of negative controls at a concentration of 10 uM
RESULT_UNIT,,,,,,,,NONE
RESULT_ATTR_CONC_MICROMOL,,,,,,,,10
185,24795751,2936390,CCC1(NC(=S)N(N1)C2=CC(=C(C=C2)C)C)C3=CC=CC=C3,Active,24,,,55.2
186,47200112,6469972,CC1=C(C=C(C=C1)C(C)NC(=O)C2CCCC2)C,Active,24,,,54.9
187,47200312,23724156,C1CCN(CC1)C2=C(C=C3C(=C2)N(C(=N3)C4CCCN4C5=NC(=CS5)C6=CC=C(C=C6)F)CCCO)Cl,Active,24,,,54.9
188,17412335,2858902,COC(=O)C1=NN(C(C1)(C2=CC=CC=C2)O)C(=O)C3=CC=C(C=C3)Cl,Active,24,,,54.8
189,50086455,996010,CC1=NN(C(=C1Cl)C(=O)NC(=S)NC2=CC=CC=C2Br)C,Active,24,,,54.7
190,24787702,890442,C1CCN(C1)C2=CC=CC=C2NC(=O)CC3=CC=CC=C3,Active,24,,,54.4
191,17408908,3127356,CC1=CC(=C(C=C1)OC)NC(=O)C(=O)NNC(=O)C2=CC=CO2,Active,24,,,54.2
192,26726830,2738116,CCCSC(=S)C1=C(NN(C1=O)C2=CC=CC=C2)C,Active,24,,,54
193,14735727,2723842,C1=CC2=C(C=C1Cl)NC(=S)S2,Active,24,,,54
194,49823542,17283487,CCC(C1=CC=C(C=C1)C(C)C)NC(=S)NC2CCCCC2,Active,24,,,53.7
195,49733364,3117693,CC1=C(C=C(C=C1)NC(=O)C(=O)NNC(=O)C2=CC=CC=C2OC)Cl,Active,24,,,53.5
196,51087541,7158933,CC(C)C1=NC2=C(C(=N1)SCC(=O)N3CCCCCC3)C(=O)N(C(=O)N2C)C,Active,24,,,53.5
197,17408961,11839411,CC1=CC(=C(C(=C1)C)NC(=O)C(C)C2=CC(=CC=C2)C(=O)C3=CC=CC=C3)C,Active,24,,,53.5
198,14740699,1568281,CCCCC(=O)NC1=C(C=C(C=C1Cl)C)C,Active,23,,,53.2
199,50085779,1226311,CCN1C(=C(C=N1)Cl)C(=O)NC(=S)NC2=CC=CC=C2Br,Active,23,,,53.2
200,49714059,135643715,CC1=C(C=CO1)C(=O)N/N=C(\C)/C2=CC=CC=C2O,Active,23,,,52.9
201,14739839,2766749,C1=CC=C(C(=C1)C2=NN=CO2)OC3=C(C=C(C=N3)C(F)(F)F)Cl,Active,23,,,52.7
202,49721985,892862,C1=CC=C(C=C1)CNC(=S)NC(=O)C2=CC=C(O2)Br,Active,23,,,52.7
203,49677358,2707548,CC1=CC(=C(C=C1)NC(=O)CC2CCCC2)Br,Active,23,,,52.4
204,14736111,2948745,CC(C)C1CC2=C(CO1)SC3=C2C(=O)N(C(=S)N3)CC4=CC=CC=C4,Active,23,,,52.2
205,14725840,2870418,COC(=O)CN1C(C2=C(C=CC(=C2)Br)NC1=O)C3=CC=CC=C3,Active,23,,,52.2
206,49826734,18273903,C1CCN(C1)C2=CC=CC=C2NC(=O)CC3=CC=C(C=C3)Br,Active,23,,,52
207,49733388,3117690,CC1=C(C=CC=C1Cl)NC(=O)C(=O)NNC(=O)C2=CC=CC=C2OC,Active,23,,,51.6
208,24790661,955780,CCC1=CC=C(C=C1)S(=O)(=O)NC(=S)NC2CCCCC2,Active,23,,,51.5
209,49826860,2971496,CC1=C(C=C(C=C1)C(C)NC(=O)C2=CC3=C(C=C2)OCO3)C,Active,23,,,51.5
210,49674240,5114648,C1=CC=C2C(=C1)C3=CC=CC=C3C2=NNC4=CC(=C(C=C4)Cl)C(=O)O,Active,22,,,51.2
211,49727681,3151049,C1=COC(=C1)CN=C(N)NC(=O)C2=CC=C(C=C2)Cl,Active,22,,,51
212,24797802,761896,CC(C)COCC1=C2C=CC=NC2=C(C=C1)O,Active,22,,,50.9
213,14739656,756861,CC(=O)C1=C(N=C(NC1=S)C2=CC=CC=C2)SC,Active,22,,,50.7
214,865994,667255,CCCC1=NC2=C(C3=C1CCCC3)C4=C(O2)C(=NC=N4)NCCN(C)C,Active,22,,,50.7
215,24824363,1471105,C1=CC(=CC=C1C2=NC3=C(C=C(C=C3)Br)C(=O)N2O)[N+](=O)[O-],Active,22,,,50.6
216,4243018,3237799,COC1=C2C(=CC=C1)SC(=N2)NC3=NN=C(O3)C4=CC=CS4,Active,22,,,50.3
217,49731812,16446305,CSC1=NN=C(S1)NC(=O)C2=NC(=NC=C2Cl)S(=O)(=O)CC3=CC=CC=C3F,Active,22,,,50
218,14732069,2768999,C1=CC=C2C(=C1)C(=O)N(C(=N2)C3=CC(=C(C=C3)Cl)Cl)O,Active,22,,,49.7
219,49666201,1487352,C1=CC=C(C=C1)C2=NC3=C(C=C(C=C3)Br)C(=O)N2O,Active,22,,,49.5
220,26731738,2810122,COC1=CC=C(C=C1)C2=C(NN3C2=NC(=CC3=O)C4=CC=CC=C4)C(F)(F)F,Active,22,,,49.3
221,49721929,16446868,CCSC1=NN=C(S1)NC(=O)C2=NC(=NC=C2Cl)S(=O)(=O)CC3=CC=C(C=C3)F,Active,22,,,49.2
222,3713021,2123184,CCCN1C(=C(C(=O)N(C1=O)C)C2=NC(=C(S2)C(=O)C3=CC=CC=C3)C4=CC=CO4)N,Active,22,,,49.1
223,14736074,837551,CCN(CC)C1=CC(=C(C=C1)NC(=O)C2=CC(=CC=C2)F)C,Active,21,,,48.9
224,17401377,4625332,CC1(C2(CCC1(C2Br)C(=O)NC3=CC=CC4=CC=CC=C43)C)C,Active,21,,,48.5
225,4247238,3241468,C1CCC(=CC1)CCN2C(=O)C3=C(NC2=S)N=CC=C3,Active,21,,,48.4
226,49826732,24247676,C1CCN(C1)C2=CC=CC=C2NC(=O)CC3=CC=C(C=C3)F,Active,21,,,48.4
227,49723750,2938758,CCC(C)C1=CC=CC=C1NC(=S)NC(=O)C2=CC=CO2,Active,21,,,48.2
228,14743924,2501092,C1=CC=C(C=C1)C2=NNC(=N2)C3=CC=CC=N3,Active,21,,,48.1
229,4245781,2160265,C1CCC(CC1)CCC(=O)NC2=C3CS(=O)CC3=NN2C4=CC=C(C=C4)F,Active,21,,,47.3
230,14745157,2117334,CN1C(=C(C(=O)N(C1=O)CC(=O)NC2=CC(=C(C=C2)Cl)Cl)N3CCCCC3)N,Active,21,,,47.3
231,17415014,2952089,CC(C1=CC2=C(CCCC2)C=C1)NC(=O)C3=CC=C(C=C3)F,Active,21,,,47.3
232,14745257,1668622,CCOC(=O)C1=C(C2=C(N=CN=C2S1)NCC3=CC=CO3)C,Active,21,,,47.2
233,49725799,3117685,CC1=CC=C(C=C1)NC(=O)C(=O)NNC(=O)C2=CC=CC=C2OC,Active,21,,,46.9
234,14722325,345777,C1=CC=C2C(=C1)C=CC3=C2N=C(N3)C4=CC=CC=N4,Active,21,,,46.8
235,24806374,801958,CC1=CC=CC=C1C(=O)NC(=S)NC2=NC(=C(S2)C(=O)OC)C,Active,20,,,46.6
236,47197014,2933462,CC1=C(C(=CC=C1)NC(=O)C2CC2C3=CC=CC=C3)C,Active,20,,,46.6
237,24831648,4077805,CC1=CC=C(O1)C2=CSC3=C2C(=O)N(C(=S)N3)CC=C,Active,20,,,46.5
238,4261752,977351,C1CC1C2=NC(=S)C3=CC=CC=C3N2,Active,20,,,46.2
239,49821192,1226578,CC1=C(C(=CC=C1)NC(=S)NC(=O)C2=CC=CO2)C,Active,20,,,46
240,49674128,2374099,CCN(CC1=CC=CC=C1)C(=S)NC(=O)C2=CC=CC=C2Br,Active,20,,,45.6
241,49673485,2431987,COCCCN1C(=O)C2=C(NC1=S)SC3=C2CCCC3,Active,20,,,45.6
242,4245630,3240077,C1=CC=C2C(=C1)C(=O)N(C(=N2)C3=CC(=CC=C3)Cl)O,Active,20,,,45.5
243,4262708,867088,CC(C)(C)C1=CC=C(C=C1)C2=NC(=NO2)C3=CC=NC=C3,Active,20,,,45.5
244,17410489,3567990,C1CCN(CC1)C2=C(C=C(C(=C2)N)[N+](=O)[O-])Cl,Active,20,,,45.3
245,14740953,9551637,COC(=O)C1=C(SC2=C1CCCC2)NS(=O)(=O)CC3=CC=CC=C3,Active,20,,,45.2
246,14733611,2963764,C1C2CC3CC1CC(C2)(C3)CC(=O)NC4=CC=CC5=C4C=CC=N5,Active,20,,,45
247,4251887,3245517,C1=CC(=C2C(=C1)SC(=N2)NC3=NN=C(O3)C4=CC=CO4)F,Active,20,,,44.6
248,47197028,2970774,CC(C1=CC2=C(C=C1)OCO2)NC(=O)CCC3=CC=CC=C3,Active,20,,,44.6
249,26659425,16409981,CC1(C2(CCC1([C@@H]2Br)C(=O)NC3=CC=CC=N3)C(Br)Br)C,Active,19,,,44.5
250,56321214,24981493,C1CN(CCN1C(C2=CC=CC=C2)C3=CC=CC=C3)C(=O)CCNS(=O)(=O)C4=CC=CC=C4F,Active,19,,,44.4
251,26665554,9566818,C1=CC=C2C(=C1)N=C(S2)N/N=C/C3=CC=CC=N3,Active,19,,,44.4
252,56324718,9552079,C1=CC(=CC=C1N/C(=N/C(=NCCCCCCN=C(/N=C(/NC2=CC=C(C=C2)Cl)\N)N)N)/N)Cl,Active,19,,,44.3
253,49726358,2218249,CC1=CC(=CC=C1)NC(=O)C(=O)NNC(=O)C2=CC=C(C=C2)C(C)(C)C,Active,19,,,44.1
254,49679132,9661909,C1=CC=NC(=C1)/C=N/NC(=O)C2=C(C=CC(=C2)Br)O,Active,19,,,44.1
255,26662848,2033202,CC(C)(C)C1=CC(=NN1)C2=NNC(=S)N2C3=CC=CC=C3F,Active,19,,,43.9
256,14721777,1432937,C1CC2(CCC1C2)CC(=O)NCC3=CC4=C(C=C3)OCO4,Active,19,,,43.7
257,7975256,3824823,C1C(=O)C2=C(C3=CC=CC=C3C=C2)OC1(C(F)(F)F)O,Active,19,,,43.6
258,24788700,1550060,CCN1C(=O)C2=C(NC1=S)SC3=C2CCCCC3,Active,19,,,43.5
259,4259485,2977962,CC1=CC(=NC(=N1)SCC(=O)NC2CC3CCC2C3)C(F)(F)F,Active,19,,,43.4
260,26659734,911732,CCC1=NC(=S)C2=C(N1)C3=CC=CC=C3CC24CCCC4,Active,19,,,43.3
261,49827152,9617971,C1=CSC(=C1)/C=N/NC(=O)C2=C(C=NN2)Br,Active,19,,,43.2
262,49672288,2816375,CCOC(=O)C1=NNN2C1=NC(=S)C3=CC=CC=C32,Active,19,,,43.1
263,26730235,2725954,CC1=C(C(=S)N=C(N1)C2=CC=CC=N2)Cl,Active,19,,,42.5
264,17408852,3129039,CC1(CC(=O)C(C(=O)C1)C(C2=CC=CO2)C3=C(CC(CC3=O)(C)C)O)C,Active,19,,,42.4
265,49720955,24791520,C1CN(CCC1N2C(=CC=N2)NC(=O)C3CCOC3)CC4=CC5=CC=CC=C5N4,Active,18,,,42.2
266,47200693,800175,CC1=CC(=C(C=C1)NC(=S)NCC2=CC=C(C=C2)F)C,Active,18,,,42.1
267,47200644,2897464,C1=CC(=CC=C1CNC(=S)NC2=CC=C(C=C2)[N+](=O)[O-])F,Active,18,,,42
268,24838696,1152583,C1CN(CCN1CC2=CC=CC=C2)C(=O)CSC3=NC(=CC(=N3)C(F)(F)F)C4=CC=CO4,Active,18,,,41.9
269,51090336,7110281,CCC1=NC2=C(C(=N1)SCC(=O)N3CCCCC3)C(=O)N(C(=O)N2C)C,Active,18,,,41.9
270,24824347,4519571,C1=CC(=CC=C1C2=NC3=C(C=C(C=C3)Cl)C(=O)N2O)[N+](=O)[O-],Active,18,,,41.8
271,3713089,135415440,CC1=CC=C(C=C1)NC2=CC(=NN2C3=NC(=CC(=O)N3)C)C,Active,18,,,41.8
272,49665393,5757257,C1=CC=C2C=C(C=CC2=C1)/C=C\3/C(=O)NC(=S)S3,Active,18,,,41.8
273,49678760,3117718,COC1=CC=CC=C1C(=O)NNC(=O)C(=O)NC2CCCCC2,Active,18,,,41.8
274,24824452,1487343,C1=CC(=CC=C1C2=NC3=C(C=CC(=C3)Cl)C(=O)N2O)[N+](=O)[O-],Active,18,,,41.6
275,14719039,990374,C1CC2=C(C(=C(N=C2C3=CC=CC=C31)OCC(=O)C4=CC=CC=C4)C#N)C5=CC=CO5,Active,18,,,41.6
276,17401430,4919168,CCC1(CC2=C(CO1)SC3=C2C(=O)N(N=N3)CC(=O)NC4=CC=CC=C4)C,Active,18,,,41.2
277,856512,657871,CC1=CC=C(O1)C2=C(C(=NC3=C2CCCC3)SCC(=O)OC)C#N,Active,18,,,40.9
278,24819850,9614523,C1=C(C=NC(=C1Cl)NC(=S)/N=C/NO)C(F)(F)F,Active,18,,,40.6
279,49726213,858935,CC1=C(SC2=C1C(=NC(=N2)C)SCC(=O)N3CCCCC3)C,Active,18,,,40.6
280,17432469,2947526,CC(C1=CC2=C(CCCC2)C=C1)NC(=O)C3=CC=C(C=C3)Br,Active,18,,,40.5
281,26661080,1895588,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N3C(=O)/C(=C\C4=CC=CC=C4O)/SC3=S,Active,18,,,40.4
282,26657716,2118160,C1=CC=C2C(=C1)C(=S)N=C(N2)C3=CC=C(C=C3)Br,Active,18,,,40.4
283,49648960,806173,C1=CC=C(C=C1)CC2=NC(=S)C3=CC=CC=C3N2,Active,18,,,40.4
284,4240834,697331,CC1=CC(=C(C=C1C)S(=O)(=O)NC2=CC=C(C=C2)O)C,Active,18,,,40.3
285,24828528,711186,CC1=C(C2=C(S1)N=CNC2=S)C3=CC=CC=C3,Active,17,,,39.7
286,17408640,738235,C1CCN(CC1)C2=CC=C(C=C2)NC(=S)NC(=O)C3=CC=CO3,Active,17,,,39.7
287,4258324,1191206,CC1(CC(=O)C(C(=O)C1)C(C2C(=O)CC(CC2=O)(C)C)C3=CC=CO3)C,Active,17,,,39.7
288,24823479,135439754,CC1=CC(=NN1CC(=O)N/N=C/C2=C(C(=CC(=C2)Br)[N+](=O)[O-])O)C,Active,17,,,39.6
289,49824455,19675502,CC(C)C1=CC=C(C=C1)C(C)NC(=S)NC2CCCCC2,Active,17,,,39.4
290,49827279,20168367,CCCC1=CC=C(C=C1)C(C)NC(=S)NC2CCCCC2,Active,17,,,39.2
291,26730341,2821135,CC1(CCC2=C(O1)C=CC(=C2)C3=NN(C=C3)S(=O)(=O)C4=CC=CC=C4Cl)C,Active,17,,,39.2
292,855619,443955,CC[C@@]12CCCN3[C@@H]1C4=C(CC3)C5=CC=CC=C5N4C(=C2)C(=O)OCC,Active,17,,,39.1
293,17407750,1109408,CC1=CC=C(C=C1)C(=O)NNC2=CC(=NC(=N2)N3CCCC3)N4CCCC4,Active,17,,,39.1
294,26670661,135607695,C1COCCN1S(=O)(=O)C2=CC=C(C=C2)NC(=S)N/N=C/C3=C(C(=CC(=C3)Cl)[N+](=O)[O-])O,Active,17,,,39
295,24788752,1319933,COC1=CC=C(C=C1)NC(=S)NC(=O)C2=CC=C(O2)Br,Active,17,,,38.9
296,24798293,970298,COC(=O)C1=C(C=CS1)NC(=S)NCC2=CC=C(C=C2)Cl,Active,17,,,38.5
297,14736422,2878678,COC(=O)CN1C(C2=C(C=CC(=C2)Br)NC1=O)C3=CC=CC=C3Cl,Active,17,,,38.2
298,7971799,5310555,COC1=C2C(=CC=C1)SC(=N2)NC3=NN=C(O3)C4=CC=CC=C4Cl,Active,17,,,38.1
299,849046,651512,CCCCC1=CC(=C(C(=C1)O)CCCC)O,Active,17,,,38.1
300,51085803,7475836,CCCCC1=NC2=C(C(=N1)SCC(=O)N3CCCC3)C(=O)N(C(=O)N2C)C,Active,17,,,37.9
301,49647226,135650425,C1=C(C=C(C(=C1/C=N/C2=NC=NN2)O)Cl)Cl,Active,16,,,37.8
302,24820070,16195155,CC(=O)NC1=C(C2=C(S1)CCCC2)C(C3=CC=CC=C3Cl)N4CCN(CC4)CCO,Active,16,,,37.7
303,47200227,23724137,C1CCN(CC1)C2=C(C=C3C(=C2)N(C(=N3)C4CCCN4C5=NC(=CS5)C6=CC(=C(C(=C6)Cl)N)Cl)CCCO)Cl,Active,16,,,37.7
304,49642876,2853719,CCC(C)C1=CC=C(C=C1)NC(=O)C2=CC=CO2,Active,16,,,37.7
305,17413927,2224292,CCCN(CCC)C(=S)NC(=O)C1=CC=C(C=C1)C2=CC=CC=C2,Active,16,,,37.7
306,4262496,705702,C1=CC=C(C=C1)OC2=CC=C(C=C2)NC(=O)C3=CC=CO3,Active,16,,,37.7
307,24820236,4317690,C1=CC=C(C=C1)C2=NC3=C(C=C(C=C3)Cl)C(=O)N2O,Active,16,,,37.5
308,24786085,2953827,CC1=CC(=C(C=C1OCC(=O)NC2CCCCC2)S(=O)(=O)N3CCN(CC3)C4=CC=CC=N4)Cl,Active,16,,,37.4
309,14728414,4996861,CCCCCCCCCCCNC(=O)C1=C(OC=C1)C,Active,16,,,36.7
310,24821356,838258,C1=CC=C(C=C1)C2=NC(=S)C3=CC=CC=C3N2,Active,16,,,36.5
311,24788066,7725473,CC1=C(C=CC(=C1)Br)OCC(=O)NNC(=O)C(=O)NC2=CC=CC=C2,Active,16,,,36.2
312,4240610,3235696,C1CCCC(CC1)NC(=O)CCS(=O)(=O)C2=CC=CC3=NON=C32,Active,16,,,36.2
313,24797073,1442866,CC(C)C1=NC2=CC=CC=C2C(=N1)SCC(=O)C3=CC=C(C=C3)F,Active,16,,,36
314,24784090,1537043,CC1=CC(=CC(=C1C)C)C2=CSC3=C2C(=S)NC=N3,Active,16,,,36
315,24787085,5733483,CC\1=NN(C(=O)/C1=C\C=C/C2=CC=CC=C2)C3=CC=CC(=C3)C(=O)O,Active,16,,,35.8
316,14730790,842594,CC1=CC=C(C=C1)NC(=O)CC(C(F)(F)F)(C(F)(F)F)O,Active,16,,,35.8
317,24797009,833604,CC1=CC(=CC=C1)NC(=S)NC(=O)C2=CC=C(O2)Br,Active,15,,,35.5
318,24829577,16196161,C1COCCN1C(CNC(=O)CC23CC4CC(C2)CC(C4)C3)C5=CC=C(C=C5)F.Cl,Active,15,,,35.5
319,7972425,54697917,CCN1C2=CC=CC=C2C(=C(C1=O)C(=O)NCC3=CC=CC=N3)O,Active,15,,,35.4
320,51087836,5905739,C1CC2=C(C=CC(=C2)C(=O)/C=C/C(=O)O)C3=CC=CC=C31,Active,15,,,35.2
321,56317726,8013493,COC1=CC(=CC(=C1OC)OC)C(=O)OCC(=O)N2CCC(CC2)CC3=CC=CC=C3,Active,15,,,35.2
322,14739918,3812720,CCOC(=O)C(C(C(=O)OCC)N1CCOCC1)C(=O)OCC,Active,15,,,35
323,24820928,16195184,C1CCC(CC1)CNCC(=O)NC2=CC=C(C=C2)OC(F)(F)F.Cl,Active,15,,,35
324,24821584,3108601,CC1=CC=C(C=C1)NC(=O)C(=O)NNC(=O)C2=CC=CS2,Active,15,,,34.9
325,24789004,892808,C1=CC=C(C=C1)NC(=S)NC(=O)C2=CC=C(O2)Br,Active,15,,,34.8
326,24807453,2858266,C1CC(=C(C1)NNC(=O)C2=CN=CC=C2)C(=O)C(F)(F)F,Active,15,,,34.7
327,51087816,7110282,CCC1=NC2=C(C(=N1)SCC(=O)N3CCCCCC3)C(=O)N(C(=O)N2C)C,Active,15,,,34.7
328,47199326,2903036,C1CC(C1)CC(=O)NC2=CC=CC3=C2C=CC=C3[N+](=O)[O-],Active,15,,,34.7
329,26727813,2804298,CC1=C(N=NS1)C(=O)NC(=S)NC2=CC=CC=C2,Active,15,,,34.5
330,49725039,1440777,CC1=C(SC2=C1C(=NC(=N2)C(C)C)SCC(=O)N3CCOCC3)C,Active,15,,,34.3
331,4255218,1152678,C1CSCCN1C(=O)CSC2=NC(=CC(=N2)C(F)(F)F)C3=CC=CO3,Active,15,,,34.1
332,49825870,20168452,CCC(C)C1=CC=C(C=C1)C(C)NC(=S)NC2CCCCC2,Active,15,,,34.1
333,47194769,1806255,C1=CC=C(C(=C1)C(=O)NC2=C(C(=CS2)C3=CC=C(C=C3)Br)C(=O)O)F,Active,15,,,34
334,14742080,3724446,CCOC(=O)C1CCCC2=C1NC3=C2C=CC=C3C(=O)N,Active,15,,,34
335,14742745,135512343,C1=CSC(=N1)/N=C/C2=C(C(=CC(=C2)Cl)Cl)O,Active,15,,,34
336,17413215,1251205,CCOC(=O)C1=C(SC=C1C2=CC=C(O2)C)NC(=S)NC(=O)N(C)C,Active,15,,,33.8
337,24828643,2344028,C1CCC(=CC1)CCNC(=S)NC(=O)C2=CC=CO2,Active,15,,,33.6
338,11532939,19910,C1=CC2=C(C=CC(=C2N=C1)O)[N+](=O)[O-],Active,15,,,33.6
339,49673961,2376086,COCCN1C(=O)C2=C(NC1=S)SC3=C2CCCC3,Active,15,,,33.5
340,14745907,135512417,CCN(CC1=NC2=CC=CC=C2C(=O)N1)CC(=O)NC(=O)NC3CCCCC3,Active,15,,,33.5
341,49823429,17383728,CC1=C(C=C(C=C1)C(C)NC(=S)NCC2=CC=C(C=C2)F)C,Active,14,,,33.4
342,49817578,16390218,C1CN(CCN1C(C2=CC=CC=C2)C3=CC=CC=C3)C(=O)CCNS(=O)(=O)C4=CC=CC=C4,Active,14,,,33.3
343,26665797,6889021,CCCCOC1=CC=C(C=C1)CCC(=O)N/N=C/C2=CC=CO2,Active,14,,,33.3
344,26658216,1277376,C1=CC=C(C=C1)C2=CC3=C(S2)N=CN=C3SCCC(=O)O,Active,14,,,33.2
345,49671328,2741131,C1C2CC3CC1CC(C2)(C3)CC(=O)NC4=C(C=CC=C4F)F,Active,14,,,33.1
346,14745110,2430051,CC1=NC2=CC=CC=C2C(=O)N1NC(=O)CC3=CC=C(C=C3)Br,Active,14,,,33.1
347,14741911,3842774,CC1=C(C(=CC=C1)C(=O)NNC2=C(CCC2)C(=O)C(F)(F)F)O,Active,14,,,32.9
348,4255419,2841867,CC1=CC(=NC=C1)NC(=O)C23CC4CC(C2)CC(C4)C3,Active,14,,,32.9
349,7976206,831035,CC1=CC=C(C=C1)OC2=CC=C(C=C2)NC(=O)C3=CC=CO3,Active,14,,,32.7
350,24792729,6469528,CC(C1=C(C=CC(=C1)OC)OC)NC(=O)NC2=CC=CC=C2,Active,14,,,32.6
351,3713070,2998267,CCOC(=O)C1=C(C2=C(N=CN=C2S1)NCC(C3=CC=CS3)N(C)C)C,Active,14,,,32.5
352,49669794,6108032,C1=CC(=CC=C1C(=O)C/C(=N\NC2=C(C=C(C=C2)[N+](=O)[O-])[N+](=O)[O-])/C(=O)O)Cl,Active,14,,,32.4
353,4261683,1245270,CC1=C(C=CO1)C(=O)NC2=CC3=C(CCC3)C=C2,Active,14,,,32.3
354,14746347,5342779,C1=CC=C2C=C(C=CC2=C1)C3=NNC(=C3)C(=O)N/N=C/C4=CC=CO4,Active,14,,,32.2
355,47199461,2851587,CC1=CC(=C(C=C1)NC(=O)C2CC3CCC2C3)Br,Active,14,,,32
356,47194122,820146,CC1=C(C=C(C=C1)NC(=S)NCC2=CC=CC=C2)C,Active,14,,,31.8
357,17414272,1261994,CC1=CC(=C(C=C1)C)C2=NC3=CC=CC=C3C(=C2)C(=O)NCC4=CC=CS4,Active,14,,,31.7
358,49718083,1010844,CC1CCN(CC1)C(=O)COC2=C(C3=CC=CC=C3C=C2)Br,Active,14,,,31.7
359,17387842,4109209,CCCC(=O)NC1=CC=C(C=C1)NCC2=CC(=C(C(=C2)Br)OCC=C)OCC,Active,14,,,31.7
360,26660472,1928783,CCCC1=NC2=C(C3=C(S2)CCCC3)C(=O)N1NC(=O)CCC(=O)OC,Active,14,,,31.4
361,24793044,2209213,CC1=CC(=C(C=C1)OC)NC(=O)NNC(=O)C2CCC(CC2)C(C)(C)C,Active,14,,,31.4
362,857246,630595,CCN1CCC2=C(C1)C(=NC(=C2C#N)NCC3=CC=CC=C3)N(CC)CC,Active,14,,,31.4
363,4258407,2168233,CC1=CC(=C(C=C1)NC(=O)CC(C(F)(F)F)(C(F)(F)F)O)Br,Active,14,,,31.2
364,49821183,1792243,CC1=CC=C(C=C1)C(=O)NC(=S)N(C)C2CCCCC2,Active,13,,,31.1
365,17510725,4220651,CC1=C(C=C(C=C1)C(=O)O)N=CC2=C(C(=CC(=C2)Br)Br)O,Active,13,,,30.9
366,49824225,2956154,CC(C1=CC2=C(C=C1)OCO2)NC(=O)NC3=CC(=CC=C3)[N+](=O)[O-],Active,13,,,30.7
367,49826330,675984,C1CCN(CC1)C(=O)COC2=C(C3=CC=CC=C3C=C2)Br,Active,13,,,30.1
368,4264365,2192547,COC1=CC(=CC(=C1)NC(=O)C2=CC=CC=C2)OC,Active,13,,,30.1
369,24818445,1475496,COC1=CC=C(C=C1)NC(=S)NC(=O)C2=CSN=N2,Active,13,,,29.9
370,24795744,2936375,CC(C)(C)C(=O)NC1=CC(=CC=C1)OC(C(F)Cl)(F)F,Active,13,,,29.9
371,17414910,9587220,C1CCC(CC1)CCC(=O)O/N=C(/C2=CC(=CC=C2)[N+](=O)[O-])\N,Active,13,,,29.6
372,852872,3005238,CCCCS/C(=C(/C#N)\C(=O)N)/C1=CC2=C(N1)CCCC2,Active,13,,,29.6
373,24805734,5720182,CC(C1=CC=CC=C1)NC(=O)/C=C/C2=CC=CC=C2,Active,13,,,29.6
374,24818250,2769026,C1CC2=CN=C(N=C2C3=CC=CC=C31)NC(=O)C4=CC=CS4,Active,13,,,29.4
375,47194491,886930,C1=CC=C(C=C1)NC(=O)NCC2=C(C=C(C=C2)Cl)Cl,Active,13,,,29.2
376,49668296,16003816,CC(C)CC(C(=O)NC(C)C1=CC=CC=C1)NC(=O)C2CCCCC2,Active,13,,,29.1
377,24822628,750417,COC(=O)CSC1=C(C2=C(N1)C=CC(=C2)F)[N+](=O)[O-],Active,12,,,28.9
378,4264372,135413742,CC1=C(C(=O)NC(=N1)SCC(=O)N2CCN(CC2)C3=CC=CC=C3OC)CC4=CC=CC=C4,Active,12,,,28.7
379,24786905,1032660,CC1=CC(=C(C=C1)NC(=S)NC(=O)C2=C(C3=CC=CC=C3S2)Cl)C(=O)O,Active,12,,,28.7
380,4247858,3242011,COC1=CC=CC(=C1)C2=NN=C(O2)NC3=NC4=C(C=CC=C4S3)F,Active,12,,,28.7
381,49676400,7189877,CC(C)C1=CC2=C(C=C1)N=C(S2)NC(=O)C3CC3,Active,12,,,28.5
382,24782524,260645,C1=CC2=C(C=C(C(=C2N=C1)O)[N+](=O)[O-])Cl,Active,12,,,28.4
383,49824452,17281987,CCC(C1=CC=CC=C1)NC(=S)NC2CCCCC2,Active,12,,,28.3
384,24794603,1015613,CC1=C(C(=CC=C1)NC(=S)NC(=O)C2=CC=C(O2)Br)C,Active,12,,,28.3
385,24791185,731856,CC1=CC(=C(C(=C1)Cl)NC(=O)C=C(C)C)C,Active,12,,,28.2
386,47198666,2838961,CC(C)C1=CC=C(C=C1)NC(=O)C2CC2C3=CC=CC=C3,Active,12,,,28.1
387,14746138,902659,C1=CC=C2C=C(C=CC2=C1)OC3=CC=C(C=C3)NC(=O)C4=CC=CO4,Active,12,,,28
388,17414218,2831996,C1=CC=C2C(=C1)C=CC(=C2O)N=NC3=CC=CC=N3,Active,12,,,27.9
389,24803448,739340,CCN(CC)C1=CC=C(C=C1)NC(=S)NC(=O)C2=CC=CO2,Active,12,,,27.9
390,14741373,1422778,CCC1=CC2=C(C=C1)N(C(=C2N=NC3=NC(=O)CS3)O)CC,Active,12,,,27.9
391,856817,658171,COC(=O)CSC1=NC2=C(CCCC2)C(=C1C#N)C3=CC=CO3,Active,12,,,27.8
