PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Average Inhibition at 6.6 uM,Standard Deviation
RESULT_TYPE,,,,,,,,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,Normalized percent inhibition of the screen at a compound concentration of 6.6 micromolar.,Standard deviation derived from the normalized percent activation of the triplicate data for each compound.
RESULT_UNIT,,,,,,,,PERCENT,NONE
RESULT_ATTR_CONC_MICROMOL,,,,,,,,6.6,
452,49671804,5896951,COC1=CC2=C(C=C1)C=C(C=C2)C(=O)/C=C/C3=CC(=C(C(=C3)OC)O)OC,Active,62,,,74.52,3.62474
453,843458,645754,CC1=CC2=NC(=CN2C=C1)C(=O)NC3=CC4=C(C=C3)OCCO4,Active,62,,,74.45,8.12439
454,24837242,2463328,CCN(CC1=CC=CC=C1)C(=O)COC(=O)C2=C(C=CC(=C2)S(=O)(=O)NC3=C(N(N(C3=O)C4=CC=CC=C4)C)C)C,Active,62,,,74.44,2.21868
455,49646172,24747439,C1CCC(CC1)NC(=O)[C@@H]2CC=C[C@H]3[C@@H]2C(=O)N(CC3)CC4=CC=CC=C4,Active,62,,,74.37,2.55583
456,17504212,4588130,C1=CC2=NSN=C2C(=C1NCCCCCC(=O)O)[N+](=O)[O-],Active,62,,,74.33,5.34994
457,26670281,135557861,C1=CC2=CC(=CC3=C2C(=C1)C(=O)N(C3=O)/N=C/C4=C(C=C(C=C4)O)O)[N+](=O)[O-],Active,62,,,74.32,3.2295
458,14744072,2570075,C1=CC=C2C(=C1)C(=CC(=N2)C3=CC=C(S3)Cl)C(=O)OCC(=O)NCC4=CC=CO4,Active,62,,,74.21,5.58045
459,17403425,728446,C1=CC=C2C(=C1)N=C(O2)C3=CC(=CC=C3)NC(=O)CC4=CC=CS4,Active,62,,,74.19,5.35103
460,26664933,42640,CN1CCN(CC1)C2=CC=C(C3=NO[N+](=C23)[O-])[N+](=O)[O-],Active,62,,,74.13,1.61179
461,17415295,1327610,C1=CC(=CC(=C1)[N+](=O)[O-])C2=NC(=C(N2)C3=CC=CS3)C4=CC=CS4,Active,62,,,74,8.4998
462,24826377,135439851,CC(=O)N1CCC2=C1C=CC(=C2)N=NC3=C(CCCC3=O)O,Active,62,,,73.99,7.72513
463,49672975,2476363,CC1=CC(=C(C=C1Cl)OC)NC2=NC=CC=N2,Active,62,,,73.94,3.33606
464,49817175,3763775,CN1CCN(CC1)C2=C(C(=O)C3=CC=CC=C3C2=O)NS(=O)(=O)C4=CC=CC=C4,Active,62,,,73.9,6.6563
465,22409822,3320490,C1=CC=C(C=C1)C2=NC3=CC=CC=C3C(=C2)C(=O)NC4=CC(=CC=C4)S(=O)(=O)NCC5=CC=CO5,Active,62,,,73.73,3.58779
466,4254525,1566703,C1COC2=C(O1)C=CC(=C2)N/C=C(\C#N)/C3=NC4=CC=CC=C4N3,Active,62,,,73.71,1.34782
467,24791825,2447615,CC1=C(SC=C1)C(=O)NC2=CC(=C(C=C2)O)C3=NC4=CC=CC=C4S3,Active,61,,,73.44,1.20017
468,49825933,25237245,CN1C2=C(C=C(C=C2)/C=N/NC(=O)C3=C(C=C(C=C3)O)O)C4=CC=CC=C41,Active,61,,,73.35,6.01196
469,49646322,9557764,COC1=C(C=C2C(=C1)C=C(N2)C(=O)N/N=C/C3=CC=C(C=C3)F)OC,Active,61,,,73.33,11.5849
470,17431724,3100490,C1=CC=NC(=C1)N2C(=O)C3=CC(=CC4=CC(=CC(=C43)C2=O)[N+](=O)[O-])[N+](=O)[O-],Active,61,,,73.32,5.53708
471,17514297,135517159,CCOC1=C(C=CC(=C1)/C=C(\C#N)/C2=NC(=C(S2)NC(=O)C)C3=CC=CS3)O,Active,61,,,73.32,4.02866
472,14725297,3112760,C1CCN(CC1)C(=S)C2=C(C=CC(=C2)Br)OC(=O)C3=CC(=CC(=C3)[N+](=O)[O-])[N+](=O)[O-],Active,61,,,73.26,7.34442
473,17513854,6866405,C/C(=C\C1=CC=CC=C1)/C=N/NC(=O)C2=NNC(=C2)C3=CC=CS3,Active,61,,,73.02,4.84563
474,17403514,3111258,C1COCCN1CCNC(=O)C2=C(C=C(C=C2)[N+](=O)[O-])[N+](=O)[O-],Active,61,,,72.94,8.19468
475,49824742,3488168,CCOC(=O)C1CCCN(C1)C2=C(C(=O)C3=CC=CC=C3C2=O)NS(=O)(=O)C4=CC=C(C=C4)Br,Active,61,,,72.88,1.25566
476,49737001,6473009,CC(C1=CC=CC=C1)NS(=O)(=O)C2=CC(=C(C=C2)OC)C(=O)N3CCCCC3,Active,61,,,72.87,3.5467
477,57257815,25161957,CCCN(CC(=O)NC1=CC=CC=C1OC)C(=O)CSC2=C(C=C(C=C2)Br)C,Active,61,,,72.84,4.10261
478,17412630,2856593,C1CCC2(CC1)N=C3C(=CC=C(C3=NCCO)[N+](=O)[O-])N2O,Active,61,,,72.7,5.66
479,14726344,973120,CC1=C(N=CC=C1)NC2=NC(=CS2)C3=CC(=C(C=C3)OC)OC,Active,61,,,72.56,3.98198
480,24809059,16192945,C1=CC=C(C=C1)CC2=CC=[N+](C=C2)CC3=CC=C(C=C3)[N+](=O)[O-].[Cl-],Active,61,,,72.54,11.5797
481,14730200,786108,CC(C)(C)C1=CC=[N+](C=C1)C2=C(SC(=N2)[O-])C=O,Active,61,,,72.45,10.5526
482,17505571,3747276,C1=CC=C(C=C1)CC(CO)NC2=C3C=CC=CC3=NC4=CC=CC=C42,Active,61,,,72.42,3.70571
483,24707839,3247354,C[C@H]([C@H]1C[C@]1(C)[C@@H](C2=CC=CC=C2)NC(=O)C3=CN=CC=C3)C(=O)NC4=CC5=CC=CC=C5C=C4,Active,61,,,72.41,13.3851
484,85200445,44201567,CC(C)(C)[C@@H]1COC(=O)[C@@H](C/C=C\C[C@H](C(=O)N1)CC(=O)N(CCO)CC2=CC=CC=C2)CC3=CC=C(C=C3)F,Active,60,,,72.4,2.83133
485,26660115,135651354,COC1=CC=CC(=C1O)/C=N/NC(=O)C2=CC3=C(N2)C=C(C=C3OC)OC,Active,60,,,72.37,5.57501
486,7973974,682457,CCOC(=O)C1=CC=C(C=C1)NC(=O)C2=CC3=CC=CC=C3O2,Active,60,,,72.31,1.17484
487,4264584,5356192,C1=CC=C2C(=C1)C3=NC4=CC=CC=C4N=C3N2,Active,60,,,72.27,5.21785
488,22414757,20846974,CC(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)N/N=C/C3=CC=CC=C3,Active,60,,,72.25,3.51431
489,50085603,2801885,C1COCCN1C(=O)CSC2=NN=C3N2C4=CC=CC=C4N=N3,Active,60,,,72.23,10.2747
490,26669782,135400682,C1CC(=C(C(=O)C1)N=NC2=CC=C(C=C2)C(=O)O)O,Active,60,,,72.2,17.8099
491,17410666,2765921,CC1=CC2=C(C=C1)SC3=C(C2=O)C=C(C=C3)NC(=O)C4=CC=CC=C4Cl,Active,60,,,72.13,1.45481
492,17510686,12005312,CCCC(=O)OCCNC1=C(C2=NON=C2C(=C1)SC3=NC=CN3C)[N+](=O)[O-],Active,60,,,72.12,5.69555
493,49816785,2956338,C1CCN(C1)C(=S)C2=CC=C(C=C2)OCC(=O)NC3=CC=CC=C3C(F)(F)F,Active,60,,,72.1,7.91391
494,16953790,1534876,CCN1C2=C3C(=C(C=C2)S(=O)(=O)NCCC4=CNC5=CC=CC=C54)C=CC=C3C1=O,Active,60,,,72.09,6.58234
495,49828431,4302211,C1=CC=C(C=C1)C2=CC=CC=C2NC(=O)CSC3=NC4=C(N3)C=CC=N4,Active,60,,,72.01,6.42316
496,24828695,4104341,CC1=C(SC=[N+]1CCCCS(=O)(=O)[O-])CCOC(=O)C2=CC(=CC(=C2)[N+](=O)[O-])[N+](=O)[O-],Active,60,,,71.99,4.75881
497,850053,652564,CCN1C(=NN=C1SCC(=O)NC2=NC(=CS2)C3=CC=CC=C3)C4=CC=CC=C4,Active,60,,,71.99,4.91238
498,24780390,397075,C1=CC=C2C(=C1)C=C(C(=O)O2)C3=CN4C=CC=CC4=N3,Active,60,,,71.93,4.61148
499,24799860,16191530,CC1=CC(=CC(=C1OC)C)C(=O)C2CCCN(C2)C(=O)C3=CC4=C(C=C3)C=CN4,Active,60,,,71.9,2.08841
500,17513519,1422791,C1=CN=CC=C1C2=NOC(=N2)C3=CC(=CC(=C3)[N+](=O)[O-])[N+](=O)[O-],Active,60,,,71.88,8.97778
501,24824183,693329,CC1=C(C2=C(O1)C(=O)C3=CC=CC=C3C2=O)C(=O)O,Active,60,,,71.87,9.40002
502,47193414,16738609,COC1=C(C=C(C=C1)S(=O)(=O)NC2=C(C=CC3=CC=CC=C32)O)OC,Active,60,,,71.86,8.15003
503,49737721,2990147,C1=CC(=C(C=C1C2=CC=C(O2)C(=O)NC3=NC=CS3)Cl)F,Active,60,,,71.77,9.2735
504,26661408,2098889,CCOC1=CC2=C(C=C1)NC(=O)/C(=C/C3=CC=CS3)/S2,Active,60,,,71.77,5.77339
505,22411775,185478,CC1=CC(=O)C2=C(C1=O)C=CC=C2OC,Active,60,,,71.66,0.929417
506,14728003,4420032,CC1=CC(=CC2=C1NC(=O)C2(C3=C(N(N(C3=O)C4=CC=CC=C4)C)C)C5=C(N(N(C5=O)C6=CC=CC=C6)C)C)Br,Active,60,,,71.5,2.93797
507,22404562,3326945,CC(=O)NC1=CC2=C(C=C1)N(C3=CC=CC=C32)C(=O)C,Active,60,,,71.31,6.98428
508,859703,661009,COC1=CC=CC(=C1)C(=O)NC2=CC=C(C=C2)C3=NN=C(O3)C4=CC=CO4,Active,60,,,71.31,5.72377
509,858425,319734,C1=CC=C(C=C1)C2=NC3=NN=NN3N=C2,Active,60,,,71.22,17.6636
510,17408390,1454981,CC1=CC(=C(C=C1)C)N(CC(=O)NC2CCCC2)C(=O)C3=C(C=C(O3)C(C)(C)C)C,Active,59,,,71.21,2.79841
511,24788157,3634327,C1=CC(=C(C=C1[N+](=O)[O-])N=NC2=C(NC(=O)NC2=O)O)O,Active,59,,,71.16,5.00872
512,49674074,3627042,CCC(=O)NC1=C(C(=O)C2=CC=CC=C2C1=O)NC3=CC=C(C=C3)N,Active,59,,,71.1,1.61786
513,24816978,5131196,CCCNC(=O)C1=NN(C(=N1)C)C2=CC=C(C=C2)[N+](=O)[O-],Active,59,,,70.99,15.9379
514,49822354,24818344,CN(CC(=O)NC1=CC=CC=C1Br)C(=O)C2=CC=CC=C2C3=NC4=CC=CC=C4S3,Active,59,,,70.97,7.87056
515,47200221,1911857,C1=CC2=C(C=C1S(=O)(=O)N(CCO)CCO)C(=O)C3=C2C=CC(=C3)S(=O)(=O)N(CCO)CCO,Active,59,,,70.9,14.6017
516,85201105,44202190,CN(C)C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=CC(=C3)C#CC4(CCCCC4)O,Active,59,,,70.9,6.32904
517,24806505,1090740,CC1=NC(=NC=C1)SC2=NC=C(C=C2)[N+](=O)[O-],Active,59,,,70.84,0.663839
518,862811,664044,CC1=C(SC(=N1)NC(=O)C2(C(C(C(C(C2(F)F)(F)F)(F)F)(F)F)(F)F)F)C(=O)C,Active,59,,,70.83,7.06032
519,24821268,4360235,CC1=CC=C(N1C2=C(SC=C2)C3=CC4=NC(=CC(=O)N4N3)C)C,Active,59,,,70.77,4.23535
520,49819912,24677734,COC1=C(C=C(C=C1)Cl)C(=O)OCC(=O)NCCNC(=O)COC(=O)C2=C(C=CC(=C2)Cl)OC,Active,59,,,70.73,0.890364
521,22405639,2665698,CSC1=CC=CC(=C1)NC(=O)/C=C/C2=CC(=CC=C2)Cl,Active,59,,,70.69,9.05425
522,14721068,3126582,C1=CC=C(C=C1)N2N=C3C=CC(=CC3=N2)NC(=O)C4=CC=CO4,Active,59,,,70.68,11.5997
523,24830280,3254086,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)NC(=O)C(C)OC(=O)C3=CC=C(S3)[N+](=O)[O-],Active,59,,,70.67,9.41423
524,47201414,1859492,CC1=CC(=NN1C(=O)C2=CC(=CC(=C2)[N+](=O)[O-])[N+](=O)[O-])C,Active,59,,,70.63,8.78214
525,49817708,24816908,C1CC(CN(C1)C(=O)C2=CC(=CC=C2)N3CCNC3=O)NC4=CC(=CC=C4)F,Active,59,,,70.61,5.67057
526,49667212,916230,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)NC(=O)N3,Active,59,,,70.59,7.33369
527,26726897,2801911,CCN(CC)C(=O)CSC1=NN=C2N1C3=C(C=C(C=C3)Cl)N=N2,Active,59,,,70.41,1.19104
528,50086798,2768773,C1CC(N(C1)S(=O)(=O)C2=CC=C(C=C2)F)C(=O)NC3=CC(=C(C=C3)F)F,Active,59,,,70.36,3.47774
529,26668328,647700,C1=CC=C(C=C1)N(CC2=CC=C(C=C2)F)C(=O)CSC3=NN=C(O3)CN4C5=CC=CC=C5N=N4,Active,59,,,70.32,2.11003
530,26670830,470952,C1=CC=C2C(=C1)C(=O)C(=C(C2=O)Cl)NC3=CC=C(C=C3)C(=O)O,Active,59,,,70.28,9.1981
531,24840541,4611451,CN(C1CCS(=O)(=O)C1)C(=O)CSC2=NC3=C(S2)C=C(C=C3)[N+](=O)[O-],Active,59,,,70.24,12.1275
532,49821145,5220114,CCN1CCN(CC1)C2=C(C(=O)C3=CC=CC=C3C2=O)NS(=O)(=O)C4=CC=C(C=C4)Br,Active,59,,,70.22,4.95006
533,22413839,15945740,CC1=CC(=C(C(=C1)C)NC(=O)C2CCCN2CCOC(=O)C3=CC(=CC=C3)[N+](=O)[O-])C.Cl,Active,59,,,70.11,13.0293
534,85148927,44144121,COC(=O)C1=C(C[C@@H]2CC[C@H]1N2C(=O)NCCOC3=CC=CC=C3Cl)C4=CC=CC=C4OCC5=CC=CC=C5,Active,59,,,70.11,3.17019
535,57262314,135775945,CC1=CC(=CC(=C1OCC(=O)N(CCOC)CC2=NC3=CC=CC=C3C(=O)N2)C)Cl,Active,59,,,70.07,2.03245
536,49670732,20832411,C[N+]1=C(C=CC2=CC=CC=C21)/C=C/C3=CC(=C(C=C3)OC)OC.[I-],Active,58,,,70.02,7.63381
537,22412987,135401384,C1=CC=C(C(=C1)/C=C\2/C(=O)N(C(=S)S2)/N=C/C3=CC=CC=C3O)OCC(=O)O,Active,58,,,69.95,3.32798
538,51087419,18573637,CC(C)CN(C1CCS(=O)(=O)C1)C(=O)C2=CC(=CC(=C2)[N+](=O)[O-])[N+](=O)[O-],Active,58,,,69.94,0.0644
539,14730114,4082365,CCN1C(=NC2=C1C(=O)C3=CC=CC=C3C2=O)C,Active,58,,,69.9,6.58568
540,85199502,1084866,COC1=CC=CC=C1NC(=O)[C@@H]2CCCN2S(=O)(=O)C3=CC=C(C=C3)Cl,Active,58,,,69.88,8.56944
541,14742004,3696529,CC1=CC=C(C=C1)C(=O)C2=C(OC3=C2C(=O)C(=O)C4=CC=CC=C43)C,Active,58,,,69.86,8.56385
542,47198396,2230478,COC1=CC=CC=C1OCCCOC2=C(C=C(C=C2)/C=C\3/C(=O)NC(=O)S3)OC,Active,58,,,69.8,7.55548
543,17411631,95707,CC(=O)NC1=CC2=C(C=C1)C(=O)C3=CC=CC=C3C2=O,Active,58,,,69.8,6.08477
544,847990,650408,CC1=CC2=NN(N=C2C=C1NC(=O)C3=CC=CS3)C4=CC=CC=C4,Active,58,,,69.67,2.85055
545,17510160,12005114,CC1=CC=C(C=C1)/C=C/2\C(=O)N(C3=CC=CC=C3S2)CC(=O)NCCCOC(C)C,Active,58,,,69.54,9.99484
546,14726639,1441513,CC1=CC(=CC=C1)C2=NN3C(=C2)N=C(C=C3N4CCC5(CC4)OCCO5)C6=CC=CC=C6,Active,58,,,69.52,3.20749
547,3716669,2999712,CCOC1=C(C=CC=N1)C(=O)NCC2COC3=CC=CC=C3O2,Active,58,,,69.46,2.27021
548,17509208,1604503,CC1=CC=C(C=C1)C(=O)N/C(=C/C2=CC=C(O2)C3=CC(=CC=C3)[N+](=O)[O-])/C(=O)NC(C)(C)C,Active,58,,,69.43,4.15188
549,17504815,2942839,CC(C1=CC=CC=C1)NS(=O)(=O)C2=CC=C(C=C2)OCC(=O)NC3=CC(=CC=C3)[N+](=O)[O-],Active,58,,,69.43,12.6185
550,47200996,679570,COC1=CC=CC=C1C(=O)NC2=C(C3=C(S2)CCCC3)C(=O)N,Active,58,,,69.36,3.94161
551,49822437,24818353,CC1=CC(=C(O1)C)C(=O)NC2=NC(=CS2)C3=CC(=C(C=C3)OC)OC,Active,58,,,69.29,2.61664
552,24786803,1363429,C1=CC(=C(C=C1/C=C/2\C(=O)N=C(S2)N)[N+](=O)[O-])O,Active,58,,,69.27,8.65199
553,26659912,16411740,CC(C)[N+]1=CN(C=C1)C\2=C(C3=CC=CC=C3C(=O)/C2=N\S(=O)(=O)C4=CC=CC=C4)[O-],Active,58,,,69.27,14.0768
554,49669398,4422147,CCN(CC)C(=O)CSC1=NC2=C(C(=O)N1C3=CC=CC=C3)SC(=S)N2C4=CC=CC=C4OC,Active,58,,,69.19,7.27403
555,47202914,3897207,CC(=O)NN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C(=O)N(C4=O)NC(=O)C)C1=O,Active,58,,,69.13,3.35469
556,56320644,135511839,COC(=O)N/N=C/C1=[N+](C2=CC=CC=C2[N+](=C1)[O-])[O-],Active,58,,,69.1,0.933963
557,49729764,3151314,C1CC(OC1)CN2C3=C(C=C(C2=N)C(=O)NCC4=CN=CC=C4)C(=O)N5C=CC=CC5=N3,Active,58,,,69.04,12.4977
558,17508835,12004731,CC1=CC=[N+](C=C1)CC(=O)C2=CC3=CC=CC=C3OC2=O.[Br-],Active,58,,,68.98,12.9756
559,47194359,4542191,C1=CC=C2C(=C1)C(=O)C3=C(C=CC(=C3C2=O)[N+](=O)[O-])C(=O)O,Active,58,,,68.97,2.68176
560,49648137,2028406,CC1=CC(=CC=C1)NC(=O)C2=CC(=NN2)C3=CC(=CC(=C3O)C)C,Active,58,,,68.93,3.33354
561,49828719,135484279,CCN(CC)C1=CC(=C(C=C1)/C=N/NC(=O)C2=C(N(N=N2)C3=NON=C3N)C(C)C)O,Active,58,,,68.86,3.17476
562,17504756,1301595,CC1=C(C=CC(=C1)O)NC(=O)CCN2C(=O)C3=C(C2=O)C=C(C=C3)[N+](=O)[O-],Active,57,,,68.83,5.87604
563,17517453,3661963,CC(=O)NC1=C(C(=O)C2=CC=CC=C2C1=O)NC3CCS(=O)(=O)C3,Active,57,,,68.64,3.71397
564,4265240,2980615,CC1=CC(=CC=C1)C2=NOC(=N2)CN(C(C)C)C(=O)C3=C(C(=CC=C3)OC)OC,Active,57,,,68.62,8.90229
565,24819423,1488502,C1=CC(=CC(=C1)Cl)NC(=O)NC2=NC(=NC=C2)C3=CN=CC=C3,Active,57,,,68.51,4.31998
566,17431866,880833,CC1=CC=C(C=C1)NC(=O)/C=C/C2=C(C=CC(=C2)Br)OC,Active,57,,,68.51,8.86521
567,24783449,608999,CC1=C(N=C2C=C(C=CC2=N1)[N+](=O)[O-])C,Active,57,,,68.45,5.28716
568,4262796,844198,COC1=CC=C(C=C1)C(=O)NC2=C(SC=C2)C(=O)OC,Active,57,,,68.43,11.186
569,848125,650554,COC1=CC=C(C=C1)C2=NN3C(=C2)N=C(C=C3N4CCC5(CC4)OCCO5)C6=CC=CC=C6,Active,57,,,68.36,4.13813
570,24836244,6409092,COC1=CC=C(C=C1)N2C=C3C(=N2)C(=NNC3=O)C4=CC=CC=C4,Active,57,,,68.24,12.3558
571,863160,664397,CC1=CC2=C(C=C1)NC(=O)C(=C2)CN(C(C)C)C(=O)C3=CC(=CC=C3)OC,Active,57,,,68.21,6.01189
572,49731851,16436255,CC1=CN2C(=NC3=C(C2=O)C=C(C(=N)N3CCCN4CCOCC4)C(=O)NCCC5=CC=CC=C5)C=C1,Active,57,,,68.2,15.1567
573,49829334,5897296,C1=CC=C(C(=C1)C(=O)N=N/C=C\2/C(=NC(=O)S2)N3C=CC(=C4C=CNC=C4)C=C3)O,Active,57,,,68.16,5.18467
574,24790145,3095676,C1=CC(=CC=C1C(=O)O)NC2=C(C=C(C=N2)[N+](=O)[O-])[N+](=O)[O-],Active,57,,,68.16,4.62557
575,7976769,3811953,C1=CC2=C(C(=O)N=C2C=C1)C3=C(N(C(=S)S3)C(CCC(=O)O)C(=O)O)O,Active,57,,,68.14,8.87548
576,4257832,2966359,CCC1=NC2=CC=CC=C2C3=C(O1)N=C(N=N3)SC,Active,57,,,68.11,3.74209
577,24797262,6017068,CN1C=C(N=C2C1=NC(=O)N(C2=O)C3=CC=CC=C3)/C=N\O,Active,57,,,68.09,6.78955
578,49668781,5303784,CC1=NOC(=C1[N+](=O)[O-])/C=C/C2=CN=CC=C2,Active,57,,,68.09,6.07641
579,87345839,44601998,COC1=C(C=C(C=C1)CN(CC(COCC2=CC=CC=C2)O)S(=O)(=O)C3=CC=CC=C3Br)OC,Active,57,,,68.08,2.81797
580,17433998,1517476,C1=CC=C(C=C1)C(C2=CC=CC=C2)SC3=NC=C(N3)C4=CC=C(C=C4)[N+](=O)[O-],Active,57,,,68.04,8.57366
581,24827636,2468387,CN(C1=C(N(C(=O)NC1=O)CC2=CC=CC=C2)N)C(=O)CSC3=C(C=C(C=N3)C(F)(F)F)Cl,Active,57,,,68.04,3.10981
582,24825099,3538824,C1CC(OC1)CNC(=O)COC(=O)C2=CC(=NC3=CC=CC=C32)C4=CC(=CC=C4)Br,Active,57,,,68.01,9.12311
583,24822076,4679493,C1CCN(CC1)CCNC2=C(C(=O)C3=CC=CC=C3C2=O)Cl,Active,57,,,67.98,11.7345
584,49734476,16021583,CC1CC2=C(N1C(=O)C3CCC3)C=CC(=C2)S(=O)(=O)NCC4=CC=CC=C4OC,Active,57,,,67.93,2.54847
585,3716091,761227,C1=CC=C2C(=C1)C=CC(=N2)C(=O)NC3=CC=CC=N3,Active,57,,,67.91,4.15971
586,17513630,951254,CC1=CC(=CC=C1)N2C3=C(C=C(C=C3)[N+](=O)[O-])C=C4C2=NC(=O)NC4=O,Active,57,,,67.88,6.72981
587,24813750,2878082,CN1C2([N+](=C3C1=CC=CC=C3)C)C(=C/C(=[N+](\[O-])/[O-])/C=C2)[N+](=O)[O-],Active,57,,,67.75,2.40068
588,51089858,3719952,C1=CC(=CN=C1)NC2=C(C=C(C=C2[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],Active,57,,,67.67,7.17391
589,49646912,1366692,COC1=C(C=C(C=C1)CNC2=NC(=NC3=CC=CC=C32)C4=CC=CC=C4)OC,Active,56,,,67.66,6.50267
590,848056,650480,C1=CC=C2C(=C1)C=CC=C2C3=NC4=C(O3)C=CC(=C4)N,Active,56,,,67.65,1.76633
591,87334109,12326649,C1=CC=C2C(=C1)C=CC3=C2OC4=CC=CC=C4C3=O,Active,56,,,67.57,0.445718
592,85269880,2413047,CC1=C(SC=C1)C(=O)OCC(=O)N(CC2=CC=CC=C2)C(C)C,Active,56,,,67.52,1.64809
593,3712757,2035623,COCCCN1C=NC2=C(C1=O)C3=NC4=CC=CC=C4N=C3O2,Active,56,,,67.47,0.920392
594,24797794,970042,CC(=O)C1=CC(=CC=C1)NC(=O)NC2=C(SC=C2)C(=O)OC,Active,56,,,67.44,10.6432
595,24781757,406463,CC1=C([N+](=O)C2=CC(=C(C=C2N1[O-])F)F)C(=O)C,Active,56,,,67.41,3.22813
596,14742084,236650,C1=CC=C2C(=C1)C(=O)C(=C(C2=O)Cl)NCCCO,Active,56,,,67.4,2.95693
597,17408901,3205943,CC1=CC(=CC(=C1)N(C(C2=CC=CS2)C(=O)NC3CCCCC3)C(=O)C4=CC=CC=N4)C,Active,56,,,67.32,14.6616
598,56321893,8004356,CC1=C(OC2=C1C=CC=C2Cl)C(=O)NC3=NC=CS3,Active,56,,,67.29,3.46103
599,17507349,9564147,COC1=C(C=C(C=C1)/C=N/NC(=O)NC2=CC=CC3=NSN=C32)OC,Active,56,,,67.17,7.00657
600,17411289,3792557,COC(=O)C1=C(C=CS1)NC(=O)CSC2=CC=CC=C2NS(=O)(=O)C3=C(C=CC(=C3)Cl)Cl,Active,56,,,67.14,1.10695
601,57265684,16302211,C1CN(C2=CC=CC=C21)S(=O)(=O)C3=CC=CC(=C3)C(=O)N4CC(OC5=CC=CC=C54)C(=O)N,Active,56,,,66.99,1.01633
602,17387959,135490307,C1=CC=C(C=C1)N2C(=C(C(=O)N2)N=NC3=CC=CC=C3F)N,Active,56,,,66.97,2.24676
603,24819543,3330522,COC1=CC=C(C=C1)N=CC2=C(C3=C(O2)C=CC4=CC=CC=C43)O,Active,56,,,66.89,3.71583
604,49680724,2088463,CC1=NC2=CC=CC=C2C(=C1)C(=O)NCC3=CC(=CC=C3)Cl,Active,56,,,66.86,2.24239
605,26671280,1943596,C1=CC(=CC=C1N=NC2=C(NC(=S)NC2=O)O)S(=O)(=O)N,Active,56,,,66.81,3.13144
606,14744457,135512371,CCOC1=CC=CC=C1OCC(=O)N/N=C/C2=C(N=C(S2)NC3=CC=CC=C3)Cl,Active,56,,,66.7,4.55453
607,47195293,837234,CCOC1=CC=CC=C1C(=O)NC2=CC=C(C=C2)C(=O)C3=CC=CC=C3,Active,56,,,66.66,1.88354
608,22407891,2579904,CCN(CC(=O)NC1=CC=CC=C1OC)C(=O)COC2=CC3=CC=CC=C3C=C2,Active,55,,,66.46,6.04315
609,17514334,4158664,C1CCC2=C(C1)C=CC(=C2)C(=O)NC3=C(C=CS3)C(=O)N,Active,55,,,66.45,5.4733
610,7973221,1298334,COC1=CC(=C(C=C1NC(=O)C2=CC=C(O2)Br)Cl)OC,Active,55,,,66.44,2.36217
611,22415012,135401471,CCN(CC)C1=CC(=C(C=C1)/C=N/NC(=O)C2=C(C=NN2C)Cl)O,Active,55,,,66.43,4.11897
612,85146492,44142353,COC1=CC(=CC(=C1)C#CC2=CC3=C(C=C2)N(C4=CC=CC=C4C3=O)CC=C)OC,Active,55,,,66.32,3.32259
613,49823164,16583102,COC1=CC=CC=C1C(=O)NC2CCSC3=CC=CC=C23,Active,55,,,66.31,3.56872
614,24788790,2883699,CN(CCO)C1=NS(=O)(=O)C2=C1C=CC(=C2)[N+](=O)[O-],Active,55,,,66.28,2.68938
615,24820560,5165162,CCC(=O)N(C1=C(C(=O)C2=CC=CC=C2C1=O)NC)C(C)C,Active,55,,,66.24,2.54747
616,22406208,4010113,COC1=CC=CC=C1NS(=O)(=O)C2=CC=CC(=C2)NC(=O)C3=NC4=CC=CC=C4C=C3,Active,55,,,66.24,7.74102
617,49670410,24761570,C1=CC=C2C(=C1)N(C(=O)/C(=C/C3=CC(=CC=C3)Cl)/O2)CC(=O)O,Active,55,,,66.21,1.08144
618,22414268,824610,CC1=CN=C2C=C(C=CC2=N1)[N+](=O)[O-],Active,55,,,66.21,4.28056
619,24787131,3094156,C1=C2C(=CC(=C1NCCO)[N+](=O)[O-])NC(=O)N2,Active,55,,,66.2,4.41229
620,17409732,1481273,COC1=CC=CC=C1NC(=O)C2=NN(C=CC2=O)C3=CC=CC(=C3)C(F)(F)F,Active,55,,,66.14,7.37586
621,24822610,1076643,C1=CC2=C(C=C1C3=CC4=C(C=C3)C(=O)N(C4=O)CCO)C(=O)N(C2=O)CCO,Active,55,,,66.08,4.81372
622,17406781,1819450,COC1=C(C=C(C=C1)/C=C\2/C3=C(C(=CC=C3)OC)C(=O)O2)OC,Active,55,,,65.98,5.3683
623,22405508,15945063,CN1CCC2=CC3=C(C4=C2[C@H]1[C@@H](C5=CC=CC=C54)O)OCO3.Br,Active,55,,,65.95,3.66905
