PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,AC50_Qualifier,AC50_uM,pAC50_M,ACTIVITY_OUTCOME_TEST1,ACTIVITY_SCORE_TEST1,ASSAYDATA_COMMENT_TEST1,AC50_Qualifier_TEST1,AC50_uM_TEST1,pAC50_M_TEST1,Hill_Slope_TEST1,S0_(%)_TEST1,Sinf_(%)_TEST1,Num_Points_TEST1,Max_Activity_(%)_TEST1,Max_Activity_Conc_uM_TEST1,Max_Concentration_uM_TEST1,Activity_at_0.00235uM_(%)_TEST1,Activity_at_0.0026uM_(%)_TEST1,Activity_at_0.0068uM_(%)_TEST1,Activity_at_0.0075uM_(%)_TEST1,Activity_at_0.008uM_(%)_TEST1,Activity_at_0.021uM_(%)_TEST1,Activity_at_0.0235uM_(%)_TEST1,Activity_at_0.06uM_(%)_TEST1,Activity_at_0.068uM_(%)_TEST1,Activity_at_0.18uM_(%)_TEST1,Activity_at_0.195uM_(%)_TEST1,Activity_at_0.21uM_(%)_TEST1,Activity_at_0.56uM_(%)_TEST1,Activity_at_0.6uM_(%)_TEST1,Activity_at_0.68uM_(%)_TEST1,Activity_at_1.6uM_(%)_TEST1,Activity_at_1.8uM_(%)_TEST1,Activity_at_1.95uM_(%)_TEST1,Activity_at_5uM_(%)_TEST1,Activity_at_5.6uM_(%)_TEST1,Activity_at_15uM_(%)_TEST1,Activity_at_16uM_(%)_TEST1,Activity_at_18uM_(%)_TEST1,Activity_at_46uM_(%)_TEST1,Activity_at_50uM_(%)_TEST1,ACTIVITY_OUTCOME_TEST2,ACTIVITY_SCORE_TEST2,ASSAYDATA_COMMENT_TEST2,AC50_Qualifier_TEST2,AC50_uM_TEST2,pAC50_M_TEST2,Hill_Slope_TEST2,S0_(%)_TEST2,Sinf_(%)_TEST2,Num_Points_TEST2,Max_Activity_(%)_TEST2,Max_Activity_Conc_uM_TEST2,Max_Concentration_uM_TEST2,Activity_at_0.0235uM_(%)_TEST2,Activity_at_0.068uM_(%)_TEST2,Activity_at_0.21uM_(%)_TEST2,Activity_at_0.6uM_(%)_TEST2,Activity_at_1.8uM_(%)_TEST2,Activity_at_5.6uM_(%)_TEST2,Activity_at_16uM_(%)_TEST2,Activity_at_50uM_(%)_TEST2
309,124754900,25010879,CC(C)C[C@@H](COCC1=CC=C(C=C1)C(F)(F)F)N2CCN(CCC2=O)C(=O)C3=CC=C(C=C3)C(F)(F)F,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,25.303,25.303,11,40,50,50,20,,14.167,14.167,25,33.333,31.667,40
310,89852211,230942,CCCCN1C=NC2=C(C1=N)C(=NN2C3=CC=CC=C3)CC#N,Active,43,,,=,50,4.301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,43,,=,50,4.301,0.5,0,-100,15,-37.5,50,50,3.333,-15.833,0,-22.5,-6.458,-25.625,-25.208,-37.5
311,56463049,4994,CCC1(C(=O)C=CNC1=O)CC,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,8.37914,8.37914,14,24.359,1.8,50,8.654,4.808,16.987,0.321,24.359,15.385,0,-4.167
312,124754393,53300393,CC(C)C[C@H]1CN(C(=O)C(=O)N1CC2CCCCC2)[C@@H](CC3=CC=C(C=C3)O)CN4CCC[C@H]4CN5[C@H](CNC(=O)C5=O)CC6=CC=CC=C6,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,3.26085,3.26085,8,-30.435,0.21,50,13.043,-4.348,-30.435,-21.739,4.348,13.043,30.435,21.739
313,49667306,3801816,C1=CC(=C(C=C1C2=C3C=CC(=O)C=C3OC4=C2C=CC(=C4)O)C(=O)O)N,Active,51,,,=,7.85,5.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,51,,=,7.85,5.105,3.305,0,-300,7,-300,50,50,-4.348,-4.348,-4.348,-4.348,,-73.913,-273.913,-300
314,87334098,6540223,CC1=CC2=C(C(=C1C3=CC(=C(C=C3)OC)OC)C)C(=CC(=O)O2)C4=CC=CC=C4,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-6.78973,-6.78973,15,-30.769,50,50,-4,7.846,-3.846,-3.692,-15.692,-4.154,-12,-30.769
315,57258358,16542842,CC1=C(C=C(C=C1)S(=O)(=O)N2CCOCC2)NC(=O)CSC3=NN=C(N3N)COC4=CC=CC=C4F,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,3.64583,3.64583,16,33.333,50,50,8.333,-4.167,4.167,-12.5,0,0,0,33.333
316,121282705,51358952,CCOC1=C2[C@@H](CN([C@H]2C3=CC=C(C=C3)Cl)S(=O)(=O)C4=CC=C(C=C4)C)[C@@H]5[C@H](C1)C(=O)N(C5=O)C6=CC=CC=C6,Active,43,,,=,50,4.301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,43,,=,50,4.301,0.816,16.522,-100,14,-32.87,50,50,0,21.759,3.704,18.519,10.648,1.852,-20.833,-32.87
317,87344003,9550105,CCOC(=O)C1=C(C2=C(O1)C=CC(=C2)S(=O)(=O)N3C(=CC(=N3)C4=CC=CC=C4)N)C,Active,52,,,=,6.82,5.166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,52,,=,6.82,5.166,3.713,5.428,-80,14,-76.667,16,16,0,15,7.5,5,1.667,-22.5,-76.667,
318,57266276,2518279,COC1=CC(=CC(=C1)C(=O)OCC(=O)NC(C2=CC=CC=C2)C3=CC=CC=C3)OC,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,24.3077,24.3077,14,64,0.0235,50,64,27.538,19.846,16,19.846,23.538,23.385,16
