PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,ConfValue1,DMSOMean1,DMSOStddev1,EC80Mean1,EC80Stddev1,ECMAXMean1,ECMAXStddev1,Zprime_DMSO_EC80_1,Zprime_DMSO_ECMAX_1,ConfValue2,DMSOMean2,DMSOStddev2,EC80Mean2,EC80Stddev2,ECMAXMean2,ECMAXStddev2,Zprime_DMSO_EC80_2,Zprime_DMSO_ECMAX_2
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,minimum fluorescence intensity value subtracted from the maximum fluorescence intensity value for sample 1 of test compound,Mean of the DMSO (vehicle) control for sample 1 calculated on a per plate basis,Standard deviation of the DMSO (vehicle) control for sample 1 calculated on a per plate basis,Mean of the EC80 acetylcholine control for sample 1 calculated on a per plate basis,Standard deviation of the EC80 acetylcholine control for sample 1 calculated on a per plate basis,Mean of the ECMax acetylcholine control for sample 1 calculated on a per plate basis,Standard deviation of the ECMax acetylcholine control for sample 1 calculated on a per plate basis,Zprime for sample 1 calculated as 1-[3* (EC80Stddev1 + DMSOStddev1) / (EC80Mean1 - DMSOMean1)],Zprime for sample 1 calculated as 1-[3* (ECMAXStddev1 + DMSOStddev1) / (ECMAXMean1 + DMSOMean1)],minimum fluorescence intensity value subtracted from the maximum fluorescence intensity value for sample 2 of test compound,Mean of the DMSO (vehicle) control for sample 2 calculated on a per plate basis,Standard deviation of the DMSO (vehicle) control for sample 2 calculated on a per plate basis,Mean of the EC80 acetylcholine control for sample 2 calculated on a per plate basis,Standard deviation of the EC80 acetylcholine control for sample 2 calculated on a per plate basis,Mean of the ECMax acetylcholine control for sample 2 calculated on a per plate basis,Standard deviation of the ECMax acetylcholine control for sample 2 calculated on a per plate basis,Zprime for sample 2 calculated as 1-[3* (EC80Stddev2 + DMSOStddev2) / (EC80Mean2 + DMSOMean2)],Zprime for sample 2 calculated as 1-[3* (ECMAXStddev2 + DMSOStddev2) / (ECMAXMean2 - DMSOMean2)]
RESULT_UNIT,,,,,,,,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
1,842131,6602565,C1CCN(CC1)C2=NC3=CC=CC=C3C(=N2)NCC4=CC=CO4.Cl,Inactive,0,,,464.123,16.1398,5.85906,500.14,41.3115,753.081,38.2811,0.708,0.82,465.102,23.5087,8.27048,534.944,57.1443,730.841,41.3298,0.616,0.79
2,842133,644388,CN1C(=CN=C1NCC2=C(C=CC(=C2)Cl)O)C3=CC(=CC=C3)OC.C(=O)(C(=O)O)O,Active,100,,,274.816,20.0097,6.01278,726.995,66.7194,1052.84,55.4146,0.691,0.822,442.286,23.8902,8.01021,607.298,25.6563,800.353,48.3103,0.827,0.782
3,842192,644447,COC1=CC=C(C=C1)C2=NN=C(C=C2)SCC(=O)NCC3=CC=CO3,Inactive,0,,,571.878,16.1398,5.85906,500.14,41.3115,753.081,38.2811,0.708,0.82,596.143,23.5087,8.27048,534.944,57.1443,730.841,41.3298,0.616,0.79
4,842195,644450,CC1=NC2=C(C3=C(S2)CCCC3)C4=NN=C(N14)SCC(=O)NCC5=CC=CO5,Inactive,0,,,662.53,20.0097,6.01278,726.995,66.7194,1052.84,55.4146,0.691,0.822,573.02,23.8902,8.01021,607.298,25.6563,800.353,48.3103,0.827,0.782
5,842212,644467,C1CN(CCN1C2=NC3=CC=CC=C3S2)C(C4=CC=CC=C4)C5=NN=NN5CC6=CC=CC=C6,Inactive,0,,,636.163,17.5332,6.06815,633.626,51.1458,957.265,70.72,0.721,0.755,609.429,22.8706,6.91594,616.37,29.1445,819.667,54.5919,0.818,0.768
6,842226,644481,CN(C1CCCCC1)S(=O)(=O)C2=CC=C(C=C2)N3C=NN=N3,Inactive,0,,,602.224,17.5332,6.06815,633.626,51.1458,957.265,70.72,0.721,0.755,618.122,22.8706,6.91594,616.37,29.1445,819.667,54.5919,0.818,0.768
7,842234,644490,C1CN(CCN1CC(=O)N2CCOCC2)C(C3=CC=CC=C3)C4=CC=CC=C4.C(=O)(C(=O)O)O,Active,100,,,160.938,16.6596,2.83897,596.015,46.9836,896.89,56.9892,0.742,0.796,196.592,25.2991,8.41132,603.282,47.3924,797.635,46.595,0.71,0.786
8,842236,644494,COC1=C(C(=CC=C1)OC)C(=O)N2CCN(CC2)CC3=CC=CC=C3C(F)(F)F.C(=O)(C(=O)O)O,Inactive,0,,,533.286,16.1398,5.85906,500.14,41.3115,753.081,38.2811,0.708,0.82,547.266,23.5087,8.27048,534.944,57.1443,730.841,41.3298,0.616,0.79
9,842276,644535,COCCN(C1=NN=C(S1)C2=CN=CC=C2)C(=O)COC3=CC=CC=C3,Inactive,0,,,569.673,16.1398,5.85906,500.14,41.3115,753.081,38.2811,0.708,0.82,550.673,23.5087,8.27048,534.944,57.1443,730.841,41.3298,0.616,0.79
10,842335,563007,C1=CC=C(C=C1)CN2C3=C(N=N2)N(C(=O)NC3=O)CCO,Inactive,0,,,568.49,14.917,3.37318,612.793,62.9511,944.967,57.8333,0.667,0.803,589.673,20.7761,5.44718,621.088,29.9314,811.886,35.3369,0.823,0.845
11,842347,644605,CC(C)(C)N1C(=NN=N1)C(C2=CC=CS2)N(CC3=CC=CC=C3)CC4=CN=CC=C4,Active,100,,,262.061,14.917,3.37318,612.793,62.9511,944.967,57.8333,0.667,0.803,491,20.7761,5.44718,621.088,29.9314,811.886,35.3369,0.823,0.845
12,842368,644636,CCCC1=C2C(C(=C(OC2=NN1)N)C#N)CC3=CC=CC=C3,Inactive,0,,,656.796,17.5332,6.06815,633.626,51.1458,957.265,70.72,0.721,0.755,626.898,22.8706,6.91594,616.37,29.1445,819.667,54.5919,0.818,0.768
13,842377,644645,CN1C(=CN=C1NCC2=CN=CC=C2)C3=CC(=CC=C3)Br,Active,100,,,37.898,20.0097,6.01278,726.995,66.7194,1052.84,55.4146,0.691,0.822,42.551,23.8902,8.01021,607.298,25.6563,800.353,48.3103,0.827,0.782
14,842430,644695,CCN1CCC2=NC(=C(C=C2C1)C#N)SCC(=O)NC3=CC=C(C=C3)OC,Inactive,0,,,518.776,16.6596,2.83897,596.015,46.9836,896.89,56.9892,0.742,0.796,502.898,25.2991,8.41132,603.282,47.3924,797.635,46.595,0.71,0.786
15,842457,644722,COC1=CC(=CC(=C1)NC(=O)C2=CC=CS2)OC,Inactive,0,,,672.04,14.917,3.37318,612.793,62.9511,944.967,57.8333,0.667,0.803,643.368,20.7761,5.44718,621.088,29.9314,811.886,35.3369,0.823,0.845
16,842468,644732,C1CCC(CC1)CNC2=C3CCCCC3=NC4=NN=NN24,Inactive,0,,,618.735,17.5332,6.06815,633.626,51.1458,957.265,70.72,0.721,0.755,682.592,22.8706,6.91594,616.37,29.1445,819.667,54.5919,0.818,0.768
17,842520,644790,C1CCC(C1)N2C(=NN=N2)C(C3=CN=CC=C3)N4CCCC4,Inactive,0,,,722.205,20.0097,6.01278,726.995,66.7194,1052.84,55.4146,0.691,0.822,601.388,23.8902,8.01021,607.298,25.6563,800.353,48.3103,0.827,0.782
18,842564,644833,CCCN1C2CCCC1CC(C2)NC(=O)C3=CC=CC=C3F,Inactive,0,,,555.143,14.917,3.37318,612.793,62.9511,944.967,57.8333,0.667,0.803,578.368,20.7761,5.44718,621.088,29.9314,811.886,35.3369,0.823,0.845
19,842582,644850,CCN1CCN(CC1)C2=CC=C(C=C2)NC(=O)C3=C4C=CC=NC4=CC=C3,Inactive,0,,,507,16.6596,2.83897,596.015,46.9836,896.89,56.9892,0.742,0.796,490.898,25.2991,8.41132,603.282,47.3924,797.635,46.595,0.71,0.786
20,842599,2881472,C1CCN(CC1)CCN2C(SCC2=O)C3=CC=CC=C3F.Cl,Active,100,,,503.367,20.7761,5.44718,621.088,29.9314,811.886,35.3369,0.823,0.845,458.796,14.917,3.37318,612.793,62.9511,944.967,57.8333,0.667,0.803
21,842620,644892,CCN1C(=NN=C1SCCN2CCCCC2)CNC3=CC=CC=C3Cl,Active,100,,,301.898,20.0097,6.01278,726.995,66.7194,1052.84,55.4146,0.691,0.822,240.449,23.8902,8.01021,607.298,25.6563,800.353,48.3103,0.827,0.782
22,842668,644939,CC(C)CCNC(=O)C(C)N(CC1=CC=C(C=C1)F)C(=O)C2=CC=C(O2)CN3CCCCC3,Inactive,0,,,648.409,20.0097,6.01278,726.995,66.7194,1052.84,55.4146,0.691,0.822,542.531,23.8902,8.01021,607.298,25.6563,800.353,48.3103,0.827,0.782
23,842712,115931,CC(C)COC1=CC=C(C=C1)C(=O)CCN2CCCCC2.Cl,Active,100,,,231.857,16.1398,5.85906,500.14,41.3115,753.081,38.2811,0.708,0.82,324.633,23.5087,8.27048,534.944,57.1443,730.841,41.3298,0.616,0.79
24,842715,6602553,C1CC(OC1)CNC2=NC(=NC3=CC=CC=C32)NC4=CC(=CC=C4)O.Cl,Active,100,,,278.816,16.6596,2.83897,596.015,46.9836,896.89,56.9892,0.742,0.796,436,25.2991,8.41132,603.282,47.3924,797.635,46.595,0.71,0.786
25,842833,645105,CN1C(=NN=C1SCCN2CCCCC2)C3=CC=CC=C3Br.C(=O)(C(=O)O)O,Active,100,,,528.776,22.8706,6.91594,616.37,29.1445,819.667,54.5919,0.818,0.768,593.837,17.5332,6.06815,633.626,51.1458,957.265,70.72,0.721,0.755
26,842928,645199,CCOC(=O)C1=C(C(=NS1)C(=O)NC2CCCCC2)N,Inactive,0,,,695.714,20.0097,6.01278,726.995,66.7194,1052.84,55.4146,0.691,0.822,587,23.8902,8.01021,607.298,25.6563,800.353,48.3103,0.827,0.782
27,842942,645213,COC(=O)CSC1=C(C=CC=N1)C2=NC3=CC=CC=C3N2,Inactive,0,,,757.021,20.0097,6.01278,726.995,66.7194,1052.84,55.4146,0.691,0.822,606.51,23.8902,8.01021,607.298,25.6563,800.353,48.3103,0.827,0.782
28,842959,645237,CCN(CC)CC1=CC2=CC=CC=C2C3=C1COC3,Active,100,,,409.143,14.917,3.37318,612.793,62.9511,944.967,57.8333,0.667,0.803,537.409,20.7761,5.44718,621.088,29.9314,811.886,35.3369,0.823,0.845
29,843171,645449,CC(C)(C)N1C(=NN=N1)C(C2=CC=CS2)N(CC3CCCO3)CC4=CN=CC=C4,Active,100,,,374.061,20.0097,6.01278,726.995,66.7194,1052.84,55.4146,0.691,0.822,385.776,23.8902,8.01021,607.298,25.6563,800.353,48.3103,0.827,0.782
30,843186,6602663,C1CN(CCN1CC(COC2=CC=CC=C2)O)C(=O)C(C3=CC=CC=C3)C4=CC=CC=C4.Cl,Active,100,,,509.449,20.0097,6.01278,726.995,66.7194,1052.84,55.4146,0.691,0.822,470.245,23.8902,8.01021,607.298,25.6563,800.353,48.3103,0.827,0.782
31,843293,645573,CCN1C(=NN=C1SCC(=O)N(CC)CC)C2=CC3=CC=CC=C3C=C2O,Inactive,0,,,508.51,16.6596,2.83897,596.015,46.9836,896.89,56.9892,0.742,0.796,489.715,25.2991,8.41132,603.282,47.3924,797.635,46.595,0.71,0.786
32,843319,645611,COC(=O)C1=CN(C2=CC=CC=C21)CC(=O)NC3CCCCC3,Inactive,0,,,584.572,16.1398,5.85906,500.14,41.3115,753.081,38.2811,0.708,0.82,559.021,23.5087,8.27048,534.944,57.1443,730.841,41.3298,0.616,0.79
33,843341,645632,C1=CC=C2C(=C1)NC(=N2)NS(=O)(=O)C3=CC=C(C=C3)Cl,Active,100,,,20.388,14.917,3.37318,612.793,62.9511,944.967,57.8333,0.667,0.803,118.694,20.7761,5.44718,621.088,29.9314,811.886,35.3369,0.823,0.845
34,843426,2953078,C1CC(OC1)CNC2=NC(=NC3=CC=CC=C32)NC4=CC=C(C=C4)O.Cl,Active,100,,,518.755,20.0097,6.01278,726.995,66.7194,1052.84,55.4146,0.691,0.822,447.286,23.8902,8.01021,607.298,25.6563,800.353,48.3103,0.827,0.782
35,843479,645774,COC1=CC=CC(=C1)N2C(=NN=C2SC)C3=NC=CN=C3,Inactive,0,,,653.204,17.5332,6.06815,633.626,51.1458,957.265,70.72,0.721,0.755,590.898,22.8706,6.91594,616.37,29.1445,819.667,54.5919,0.818,0.768
36,843512,247817,C1=CC=C2C(=C1)C(=O)N(C2=O)CCOCCN3C(=O)C4=CC=CC=C4C3=O,Inactive,0,,,694.612,17.5332,6.06815,633.626,51.1458,957.265,70.72,0.721,0.755,678.776,22.8706,6.91594,616.37,29.1445,819.667,54.5919,0.818,0.768
37,843534,6603145,CCC1=C(C2=CC=CC=C2O1)C(=O)CCN3CCCCC3.Cl,Active,100,,,162.122,20.0097,6.01278,726.995,66.7194,1052.84,55.4146,0.691,0.822,230.857,23.8902,8.01021,607.298,25.6563,800.353,48.3103,0.827,0.782
38,843537,2965198,C1CN2CCC1C(C2)OC(=O)C(CO)(C3=CC=CC=C3)C4=CC=CC=C4.Cl,Active,100,,,18.612,16.282,5.14447,528.316,37.3611,799.866,42.1915,0.751,0.819,12.755,21.4802,7.51071,397.334,63.0561,611.237,32.0087,0.437,0.799
39,843551,645854,CCN1C(=NN=C1SCCN2CCCCC2)CNC3=CC=C(C=C3)F,Active,100,,,509.244,23.8902,8.01021,607.298,25.6563,800.353,48.3103,0.827,0.782,631.143,20.0097,6.01278,726.995,66.7194,1052.84,55.4146,0.691,0.822
40,843556,135403371,CCOC(=O)CSC1=NN=C(C(=O)N1)NCC(=O)OC(C)C,Inactive,0,,,651.449,14.917,3.37318,612.793,62.9511,944.967,57.8333,0.667,0.803,593.245,20.7761,5.44718,621.088,29.9314,811.886,35.3369,0.823,0.845
41,843620,645918,C1CCC(CC1)NC(=O)C2CCN(CC2)C(=O)NCC3=CC=CC=C3,Inactive,0,,,687.694,16.6596,2.83897,596.015,46.9836,896.89,56.9892,0.742,0.796,653.755,25.2991,8.41132,603.282,47.3924,797.635,46.595,0.71,0.786
42,843655,54690398,CCOC(=O)C1=CC=CC=C1NC(=O)C2=C(C3=CC=CC=C3N(C2=O)CC=C)O,Inactive,0,,,630.653,14.917,3.37318,612.793,62.9511,944.967,57.8333,0.667,0.803,614.612,20.7761,5.44718,621.088,29.9314,811.886,35.3369,0.823,0.845
43,843709,646011,CCSC1=NC2=C(N1CC3=CC=C(C=C3)Cl)C(=O)N(C(=O)N2C)C,Inactive,0,,,416.347,16.282,5.14447,528.316,37.3611,799.866,42.1915,0.751,0.819,403.857,21.4802,7.51071,397.334,63.0561,611.237,32.0087,0.437,0.799
44,843754,646056,CC(C)NC(=O)CN1N=C(N=N1)C2=CC(=CC=C2)NC(=O)C3=CC=CC=C3F,Inactive,0,,,640.755,14.917,3.37318,612.793,62.9511,944.967,57.8333,0.667,0.803,627.143,20.7761,5.44718,621.088,29.9314,811.886,35.3369,0.823,0.845
45,843785,5761203,C/C=C/CN1C2=C(N=C1SCC3=CC=CC=C3)N(C(=O)NC2=O)C,Inactive,0,,,577.756,17.5332,6.06815,633.626,51.1458,957.265,70.72,0.721,0.755,600.776,22.8706,6.91594,616.37,29.1445,819.667,54.5919,0.818,0.768
46,843850,646155,C1CN(CCN1CCCCN2C(=O)C3=CC=CC=C3C2=O)C(=O)C4=CC=CO4,Inactive,0,,,632.449,14.917,3.37318,612.793,62.9511,944.967,57.8333,0.667,0.803,641.388,20.7761,5.44718,621.088,29.9314,811.886,35.3369,0.823,0.845
47,843902,646211,CCCCC1=C(N(N=C1C)C2=NC3=C(C4=CC=CC=C4N3CC)N=N2)C,Inactive,0,,,623.429,20.0097,6.01278,726.995,66.7194,1052.84,55.4146,0.691,0.822,559.428,23.8902,8.01021,607.298,25.6563,800.353,48.3103,0.827,0.782
48,843905,566573,CCC(CCN1CCCCC1)(C2=CC=CC=C2)O,Active,100,,,80,14.917,3.37318,612.793,62.9511,944.967,57.8333,0.667,0.803,142.918,20.7761,5.44718,621.088,29.9314,811.886,35.3369,0.823,0.845
49,843951,646257,CCOC1=CC2=C(C=C1)N(C3=C2N=NC(=N3)SCC(=O)N4CCC(CC4)C)C,Active,100,,,143.817,14.917,3.37318,612.793,62.9511,944.967,57.8333,0.667,0.803,522.102,20.7761,5.44718,621.088,29.9314,811.886,35.3369,0.823,0.845
50,844085,646395,CCSC1=C(C2(CCCCC2)C(=C(N1)N)C#N)C#N,Inactive,0,,,522,16.1398,5.85906,500.14,41.3115,753.081,38.2811,0.708,0.82,487.939,23.5087,8.27048,534.944,57.1443,730.841,41.3298,0.616,0.79
51,844133,646449,CC1=C(C=CO1)C2=NN=C(N2C)SCC(=O)NC3=NC4=C(S3)C=C(C=C4)OC,Inactive,0,,,482.837,16.1398,5.85906,500.14,41.3115,753.081,38.2811,0.708,0.82,500.51,23.5087,8.27048,534.944,57.1443,730.841,41.3298,0.616,0.79
52,844152,646468,COCCN1C(=NN=C1SCC2=CN=CC=C2)C3=CC=CO3,Inactive,0,,,679.327,14.917,3.37318,612.793,62.9511,944.967,57.8333,0.667,0.803,648.735,20.7761,5.44718,621.088,29.9314,811.886,35.3369,0.823,0.845
53,844192,646505,CCOC1=CC=C(C=C1)NC2=NC(=CS2)CC3=NN=C(O3)SCC(=O)N,Inactive,0,,,671.224,17.5332,6.06815,633.626,51.1458,957.265,70.72,0.721,0.755,650.082,22.8706,6.91594,616.37,29.1445,819.667,54.5919,0.818,0.768
54,844208,646520,CC1=C(C2=NC3=CC=CC=C3N2C(=C1)N4CCN(CC4)C5=CC=CC=N5)C#N,Inactive,0,,,558.796,17.5332,6.06815,633.626,51.1458,957.265,70.72,0.721,0.755,592.245,22.8706,6.91594,616.37,29.1445,819.667,54.5919,0.818,0.768
55,844284,646605,C1CCC(CC1)N2C(=NN=N2)CN3CCC(CC3)N4C=NC5=C4C=CC(=C5)C(F)(F)F,Inactive,0,,,484.51,14.917,3.37318,612.793,62.9511,944.967,57.8333,0.667,0.803,546.266,20.7761,5.44718,621.088,29.9314,811.886,35.3369,0.823,0.845
56,844332,646652,COC1=CC=C(C=C1)C(C2=NN=NN2CC3=CC=C(C=C3)F)N4CCN(CC4)C5=CC=C(C=C5)OC,Inactive,0,,,715.612,20.0097,6.01278,726.995,66.7194,1052.84,55.4146,0.691,0.822,605.878,23.8902,8.01021,607.298,25.6563,800.353,48.3103,0.827,0.782
57,844353,646673,COC1=CC=C(C=C1)C2(CCN(CC2)CCCCOC3=CC=CC=C3)O,Active,100,,,402.021,20.7761,5.44718,621.088,29.9314,811.886,35.3369,0.823,0.845,551.613,14.917,3.37318,612.793,62.9511,944.967,57.8333,0.667,0.803
58,844389,646715,CN1C(=O)C2C(N(OC2C1=O)C3=CC=CC=C3)C4=CC=CS4,Inactive,0,,,647.428,16.6596,2.83897,596.015,46.9836,896.89,56.9892,0.742,0.796,501.755,25.2991,8.41132,603.282,47.3924,797.635,46.595,0.71,0.786
59,844462,646787,CCN1CCN(CC1)C2=CC=C(C=C2)NC(=O)COC3=CC=CC=C3Cl,Active,100,,,287.51,20.0097,6.01278,726.995,66.7194,1052.84,55.4146,0.691,0.822,357.449,23.8902,8.01021,607.298,25.6563,800.353,48.3103,0.827,0.782
60,844468,646792,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)S(=O)(=O)C3=CC4=C(C=C3)OCCO4,Active,100,,,515.204,20.7761,5.44718,621.088,29.9314,811.886,35.3369,0.823,0.845,434.082,14.917,3.37318,612.793,62.9511,944.967,57.8333,0.667,0.803
61,844483,6603020,CC(CCN(C)C)OC(=O)C1=CC=C(O1)C(C)C2=CC=CC=C2.Cl,Active,100,,,368.633,16.6596,2.83897,596.015,46.9836,896.89,56.9892,0.742,0.796,329.877,25.2991,8.41132,603.282,47.3924,797.635,46.595,0.71,0.786
62,844527,646854,CCN1C(=NN=C1SCC(=O)NCC2=CC=CC=C2)CNC3=CC=CC=C3Cl,Active,100,,,491.938,20.7761,5.44718,621.088,29.9314,811.886,35.3369,0.823,0.845,438.673,14.917,3.37318,612.793,62.9511,944.967,57.8333,0.667,0.803
63,844601,6603373,COC(=O)C1=CC=C(C=C1)NC(=O)CCN2CCCCC2.Cl,Active,100,,,515.082,22.8706,6.91594,616.37,29.1445,819.667,54.5919,0.818,0.768,590.653,17.5332,6.06815,633.626,51.1458,957.265,70.72,0.721,0.755
64,844603,646935,CC1=CC=C(C=C1)CNC2=NC=C(N2C)C3=CC4=C(C=C3)OCO4.C(=O)(C(=O)O)O,Active,100,,,393.653,16.6596,2.83897,596.015,46.9836,896.89,56.9892,0.742,0.796,500.816,25.2991,8.41132,603.282,47.3924,797.635,46.595,0.71,0.786
65,844697,647027,C1=CC2=C3C(=C1)NC(NC3=CC=C2)C4=CC=CO4,Inactive,0,,,606,17.5332,6.06815,633.626,51.1458,957.265,70.72,0.721,0.755,597.265,22.8706,6.91594,616.37,29.1445,819.667,54.5919,0.818,0.768
66,844801,647133,CC1=C(C(=CC=C1)NC(=O)C2=C(C(=C(S2)NC(=O)C3=CC=CO3)C#N)C)C,Inactive,0,,,636.795,14.917,3.37318,612.793,62.9511,944.967,57.8333,0.667,0.803,586.572,20.7761,5.44718,621.088,29.9314,811.886,35.3369,0.823,0.845
67,844840,6602583,CCC1=CC2=C(N=CN=C2S1)NCCN3CCCCC3.Cl,Active,100,,,474.734,23.8902,8.01021,607.298,25.6563,800.353,48.3103,0.827,0.782,592.898,20.0097,6.01278,726.995,66.7194,1052.84,55.4146,0.691,0.822
68,844936,647266,CC1=CC=C(C=C1)N2C(=O)CSC23C4=CC=CC=C4NC3=O,Inactive,0,,,389.571,16.1398,5.85906,500.14,41.3115,753.081,38.2811,0.708,0.82,465.898,23.5087,8.27048,534.944,57.1443,730.841,41.3298,0.616,0.79
69,844963,647302,CN1C(=CN=C1NCC2=CC=CC=C2)C3=CC4=C(C=C3)OCO4.C(=O)(C(=O)O)O,Active,100,,,229,16.1398,5.85906,500.14,41.3115,753.081,38.2811,0.708,0.82,360.307,23.5087,8.27048,534.944,57.1443,730.841,41.3298,0.616,0.79
70,844973,647313,CCCOC(=O)C1=C(NC2=C(C1C3=CC=C(C=C3)N(C)C)C(=O)CCC2)C,Active,100,,,174.674,16.6596,2.83897,596.015,46.9836,896.89,56.9892,0.742,0.796,321.469,25.2991,8.41132,603.282,47.3924,797.635,46.595,0.71,0.786
71,844985,647325,CCN1C(=NN=C1SCC(=O)N2CCC3=CC=CC=C32)CSC4=NC=CC=N4,Inactive,0,,,488.51,16.1398,5.85906,500.14,41.3115,753.081,38.2811,0.708,0.82,460.224,23.5087,8.27048,534.944,57.1443,730.841,41.3298,0.616,0.79
72,845068,6603185,CCC(CO)(C1=CC=CC=C1)C(=O)OC2CN3CCC2CC3.Cl,Active,100,,,14.02,17.5332,6.06815,633.626,51.1458,957.265,70.72,0.721,0.755,16.612,22.8706,6.91594,616.37,29.1445,819.667,54.5919,0.818,0.768
73,845133,9595059,C1CCCN(CC1)CCCCCC(=O)/C=N/O,Active,100,,,505.408,20.7761,5.44718,621.088,29.9314,811.886,35.3369,0.823,0.845,493.143,14.917,3.37318,612.793,62.9511,944.967,57.8333,0.667,0.803
74,845228,647570,CN1C2=C(C=C1C(=O)N(C)C3CCCCC3)SC=C2,Inactive,0,,,637.755,14.917,3.37318,612.793,62.9511,944.967,57.8333,0.667,0.803,618.592,20.7761,5.44718,621.088,29.9314,811.886,35.3369,0.823,0.845
75,845236,647577,C1CC(OC1)CNC(=O)CN(CCC2=CC=CC=C2)C(=O)CNS(=O)(=O)C3=CC=C(C=C3)F,Inactive,0,,,656.489,14.917,3.37318,612.793,62.9511,944.967,57.8333,0.667,0.803,627.633,20.7761,5.44718,621.088,29.9314,811.886,35.3369,0.823,0.845
76,845241,647581,CCCOC1=CC=C(C=C1)C2=NN=C(O2)C3=CC=NC=C3,Inactive,0,,,522.939,16.1398,5.85906,500.14,41.3115,753.081,38.2811,0.708,0.82,543.571,23.5087,8.27048,534.944,57.1443,730.841,41.3298,0.616,0.79
77,845252,647592,CC(C)N1C2=C(C=C(C1=N)C(=O)NCCC3=CC=CC=C3)C(=O)N4C=CC=CC4=N2,Active,100,,,337.857,17.5332,6.06815,633.626,51.1458,957.265,70.72,0.721,0.755,551.184,22.8706,6.91594,616.37,29.1445,819.667,54.5919,0.818,0.768
78,845267,647607,CC1=CC=C(O1)C2=NN(N=N2)CC(=O)N3CCN(CC3)C4=CC=CC=C4,Inactive,0,,,650.571,16.6596,2.83897,596.015,46.9836,896.89,56.9892,0.742,0.796,630.489,25.2991,8.41132,603.282,47.3924,797.635,46.595,0.71,0.786
79,845297,647636,CC(C)OC(=O)CSC1=NN=C(N1CC2=CC=CC=C2)C3=CC=C(C=C3)O,Inactive,0,,,645.47,14.917,3.37318,612.793,62.9511,944.967,57.8333,0.667,0.803,650.551,20.7761,5.44718,621.088,29.9314,811.886,35.3369,0.823,0.845
80,845341,647685,CC1=CSC(=N1)NC(=O)CSC2=NC=NC3=C2C=NN3C4=CC=CC=C4Cl,Inactive,0,,,479.224,16.1398,5.85906,500.14,41.3115,753.081,38.2811,0.708,0.82,522.959,23.5087,8.27048,534.944,57.1443,730.841,41.3298,0.616,0.79
81,845409,647751,CCCCC(C1=NN=NN1CC2=CC=CO2)N3CCN(CC3)C4=NC5=CC=CC=C5S4,Inactive,0,,,604.796,16.6596,2.83897,596.015,46.9836,896.89,56.9892,0.742,0.796,569.102,25.2991,8.41132,603.282,47.3924,797.635,46.595,0.71,0.786
82,845423,6603159,CC(CN1CCCCC1)OC(=O)C2=CC3=CC=CC=C3O2.Cl,Active,100,,,244.143,16.6596,2.83897,596.015,46.9836,896.89,56.9892,0.742,0.796,346.979,25.2991,8.41132,603.282,47.3924,797.635,46.595,0.71,0.786
83,845509,647859,CC1=CC=C(C=C1)S(=O)(=O)CN2C(=NN=N2)C(C(C)C)N3CCSCC3,Inactive,0,,,646.551,17.5332,6.06815,633.626,51.1458,957.265,70.72,0.721,0.755,646.367,22.8706,6.91594,616.37,29.1445,819.667,54.5919,0.818,0.768
84,845518,647868,CCOC(=O)CN(C1=CC=CC=C1)C(=O)CSC2=NN=C(N2CCCN(C)C)C3=CC=NC=C3,Inactive,0,,,625.205,16.6596,2.83897,596.015,46.9836,896.89,56.9892,0.742,0.796,596.449,25.2991,8.41132,603.282,47.3924,797.635,46.595,0.71,0.786
85,845610,647965,C1CN(CCC1NC(=O)NC2=CC=CC=C2C3=CC=CC=C3)CC(=O)N4CCOCC4,Active,100,,,363.224,17.5332,6.06815,633.626,51.1458,957.265,70.72,0.721,0.755,281.796,22.8706,6.91594,616.37,29.1445,819.667,54.5919,0.818,0.768
86,845660,2881273,CCN1C2=CC=CC=C2N(C1=N)CC(=O)C3=CC=CO3.Br,Inactive,0,,,413.265,16.1398,5.85906,500.14,41.3115,753.081,38.2811,0.708,0.82,528.959,23.5087,8.27048,534.944,57.1443,730.841,41.3298,0.616,0.79
87,845661,2881708,C1CN2C3=CC=CC=C3N(C2=N1)CC4=CC(=C(C=C4)Cl)Cl.Cl,Active,100,,,359.919,16.6596,2.83897,596.015,46.9836,896.89,56.9892,0.742,0.796,437.225,25.2991,8.41132,603.282,47.3924,797.635,46.595,0.71,0.786
88,845663,2925284,CN(C)CCOC(=O)C1(CCOCC1)C2=CC=CC=C2.Cl,Active,100,,,342.225,16.1398,5.85906,500.14,41.3115,753.081,38.2811,0.708,0.82,381.102,23.5087,8.27048,534.944,57.1443,730.841,41.3298,0.616,0.79
