PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,ConfValue1,DMSOMean1,DMSOStddev1,EC80Mean1,EC80Stddev1,ECMAXMean1,ECMAXStddev1,Zprime_DMSO_EC80_1,Zprime_DMSO_ECMAX_1,ConfValue2,DMSOMean2,DMSOStddev2,EC80Mean2,EC80Stddev2,ECMAXMean2,ECMAXStddev2,Zprime_DMSO_EC80_2,Zprime_DMSO_ECMAX_2
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,minimum fluorescence intensity value subtracted from the maximum fluorescence intensity value for sample 1 of test compound,Mean of the DMSO (vehicle) control for sample 1 calculated on a per plate basis,Standard deviation of the DMSO (vehicle) control for sample 1 calculated on a per plate basis,Mean of the EC80 acetylcholine control for sample 1 calculated on a per plate basis,Standard deviation of the EC80 acetylcholine control for sample 1 calculated on a per plate basis,Mean of the ECMax acetylcholine control for sample 1 calculated on a per plate basis,Standard deviation of the ECMax acetylcholine control for sample 1 calculated on a per plate basis,Zprime for sample 1 calculated as 1-[3* (EC80Stddev1 + DMSOStddev1) / (EC80Mean1 - DMSOMean1)],Zprime for sample 1 calculated as 1-[3* (ECMAXStddev1 + DMSOStddev1) / (ECMAXMean1 + DMSOMean1)],minimum fluorescence intensity value subtracted from the maximum fluorescence intensity value for sample 2 of test compound,Mean of the DMSO (vehicle) control for sample 2 calculated on a per plate basis,Standard deviation of the DMSO (vehicle) control for sample 2 calculated on a per plate basis,Mean of the EC80 acetylcholine control for sample 2 calculated on a per plate basis,Standard deviation of the EC80 acetylcholine control for sample 2 calculated on a per plate basis,Mean of the ECMax acetylcholine control for sample 2 calculated on a per plate basis,Standard deviation of the ECMax acetylcholine control for sample 2 calculated on a per plate basis,Zprime for sample 2 calculated as 1-[3* (EC80Stddev2 + DMSOStddev2) / (EC80Mean2 + DMSOMean2)],Zprime for sample 2 calculated as 1-[3* (ECMAXStddev2 + DMSOStddev2) / (ECMAXMean2 - DMSOMean2)]
RESULT_UNIT,,,,,,,,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
1002,4249011,3243017,CCN1C2=CC=CC=C2C(=CC1=O)SCC(=O)NCCN3CCN(CC3)CC4=CC=CC=C4,Inactive,0,,,494.49,16.1398,5.85906,500.14,41.3115,753.081,38.2811,0.708,0.82,503.817,23.5087,8.27048,534.944,57.1443,730.841,41.3298,0.616,0.79
1003,4249193,3243180,CCOC(=O)N1CCC(CC1)NC(=O)C2=C(C3=C(S2)N=C4CCCCN4C3=O)C,Inactive,0,,,641,17.5332,6.06815,633.626,51.1458,957.265,70.72,0.721,0.755,582.102,22.8706,6.91594,616.37,29.1445,819.667,54.5919,0.818,0.768
1004,4249234,696449,C1CCCC(CCC1)NC(=O)C2=CC=CC=C2O,Inactive,0,,,600.918,17.5332,6.06815,633.626,51.1458,957.265,70.72,0.721,0.755,613.918,22.8706,6.91594,616.37,29.1445,819.667,54.5919,0.818,0.768
1005,4249282,3243256,CCC1=C(N=NC(=N1)SCC(=O)N2CCCC3=CC=CC=C32)CC,Inactive,0,,,706.081,20.0097,6.01278,726.995,66.7194,1052.84,55.4146,0.691,0.822,604.694,23.8902,8.01021,607.298,25.6563,800.353,48.3103,0.827,0.782
1006,4249307,778164,CC1=CC(=C(C=C1)OC(=O)C2=C3C(=CC=C2)N=C(O3)C)C(=O)C,Inactive,0,,,745,20.0097,6.01278,726.995,66.7194,1052.84,55.4146,0.691,0.822,586.469,23.8902,8.01021,607.298,25.6563,800.353,48.3103,0.827,0.782
1007,4249311,3243283,CCN1CCCC1CNC(=O)CSCC2=C(OC(=N2)C3=CC=CC=C3C)C,Active,100,,,257.102,14.917,3.37318,612.793,62.9511,944.967,57.8333,0.667,0.803,358.041,20.7761,5.44718,621.088,29.9314,811.886,35.3369,0.823,0.845
1008,4249329,3243297,CC1=C(N=C(O1)C2=CC(=CC=C2)OC)CS(=O)(=O)CC(=O)NCCCN3CCC4=CC=CC=C4C3,Inactive,0,,,402.102,16.1398,5.85906,500.14,41.3115,753.081,38.2811,0.708,0.82,436.796,23.5087,8.27048,534.944,57.1443,730.841,41.3298,0.616,0.79
1009,4249350,3243314,CCS(=O)(=O)N1CCC(CC1)C(=O)NCCN2CCN(CC2)CC3=CC=CC=C3,Inactive,0,,,547.632,16.1398,5.85906,500.14,41.3115,753.081,38.2811,0.708,0.82,489.857,23.5087,8.27048,534.944,57.1443,730.841,41.3298,0.616,0.79
1010,4249361,3243324,CC1=CC=CN2C1=NC3=C(C2=O)C=C(C(=N)N3CCN4CCOCC4)C(=O)NC5CCCCC5,Inactive,0,,,557.837,16.282,5.14447,528.316,37.3611,799.866,42.1915,0.751,0.819,365,21.4802,7.51071,397.334,63.0561,611.237,32.0087,0.437,0.799
1011,4249372,3243334,CCN(CCCNC(=O)C1=C(OC(=O)C=C1C)C)C2=CC=CC=C2,Inactive,0,,,526.469,17.5332,6.06815,633.626,51.1458,957.265,70.72,0.721,0.755,533.244,22.8706,6.91594,616.37,29.1445,819.667,54.5919,0.818,0.768
1012,4249384,6602833,C1=CC(=CC(=C1)C(=O)NCC2=CC=NC=C2)CN3C=C(C=N3)Br.Cl,Active,100,,,50.306,14.917,3.37318,612.793,62.9511,944.967,57.8333,0.667,0.803,125.347,20.7761,5.44718,621.088,29.9314,811.886,35.3369,0.823,0.845
1013,4249402,3243360,COC1=CC=CC(=C1)CNC(=O)CCN2C3=CC=CC=C3OC2=O,Inactive,0,,,515.428,17.5332,6.06815,633.626,51.1458,957.265,70.72,0.721,0.755,560.102,22.8706,6.91594,616.37,29.1445,819.667,54.5919,0.818,0.768
1014,4249413,6603654,COC1=C(C=C(C=C1)C2C3=CC=CN3C4=C(CN2)C=CC5=C4OCO5)OC.Cl,Active,100,,,445.02,17.5332,6.06815,633.626,51.1458,957.265,70.72,0.721,0.755,465.796,22.8706,6.91594,616.37,29.1445,819.667,54.5919,0.818,0.768
1015,4249456,3243408,CC1=CC=C(C=C1)C2(CSC(=NC3=CN=CC=C3)N2CC=C)O,Active,100,,,519.449,20.7761,5.44718,621.088,29.9314,811.886,35.3369,0.823,0.845,437.326,14.917,3.37318,612.793,62.9511,944.967,57.8333,0.667,0.803
1016,4249513,3243458,CCN(CC)CCCN1C(=O)C2=C(C=CC(=C2)Cl)NC1=S,Inactive,0,,,616.816,14.917,3.37318,612.793,62.9511,944.967,57.8333,0.667,0.803,576.041,20.7761,5.44718,621.088,29.9314,811.886,35.3369,0.823,0.845
