PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,AC50_Qualifier,AC50_uM,pAC50_M,ACTIVITY_OUTCOME_TEST1,ACTIVITY_SCORE_TEST1,ASSAYDATA_COMMENT_TEST1,AC50_Qualifier_TEST1,AC50_uM_TEST1,pAC50_M_TEST1,Hill_Slope_TEST1,S0_(%)_TEST1,Sinf_(%)_TEST1,Num_Points_TEST1,Max_Activity_(%)_TEST1,Max_Activity_Conc_uM_TEST1,Max_Concentration_uM_TEST1,Activity_at_0.26uM_(%)_TEST1,Activity_at_0.5uM_(%)_TEST1,Activity_at_1uM_(%)_TEST1,Activity_at_2.1uM_(%)_TEST1,Activity_at_4.2uM_(%)_TEST1,Activity_at_8uM_(%)_TEST1,Activity_at_16uM_(%)_TEST1,Activity_at_35uM_(%)_TEST1,ACTIVITY_OUTCOME_TEST2,ACTIVITY_SCORE_TEST2,ASSAYDATA_COMMENT_TEST2,AC50_Qualifier_TEST2,AC50_uM_TEST2,pAC50_M_TEST2,Hill_Slope_TEST2,S0_(%)_TEST2,Sinf_(%)_TEST2,Num_Points_TEST2,Max_Activity_(%)_TEST2,Max_Activity_Conc_uM_TEST2,Max_Concentration_uM_TEST2,Activity_at_0.235uM_(%)_TEST2,Activity_at_0.26uM_(%)_TEST2,Activity_at_0.285uM_(%)_TEST2,Activity_at_0.46uM_(%)_TEST2,Activity_at_0.5uM_(%)_TEST2,Activity_at_0.56uM_(%)_TEST2,Activity_at_0.9uM_(%)_TEST2,Activity_at_1uM_(%)_TEST2,Activity_at_1.1uM_(%)_TEST2,Activity_at_1.8uM_(%)_TEST2,Activity_at_1.95uM_(%)_TEST2,Activity_at_2.1uM_(%)_TEST2,Activity_at_2.35uM_(%)_TEST2,Activity_at_3.8uM_(%)_TEST2,Activity_at_4.2uM_(%)_TEST2,Activity_at_4.6uM_(%)_TEST2,Activity_at_7.5uM_(%)_TEST2,Activity_at_8uM_(%)_TEST2,Activity_at_9uM_(%)_TEST2,Activity_at_15uM_(%)_TEST2,Activity_at_16uM_(%)_TEST2,Activity_at_18uM_(%)_TEST2,Activity_at_30uM_(%)_TEST2,Activity_at_35uM_(%)_TEST2
1541,87542115,44618909,C[C@H]1CCCCO[C@@H]([C@@H](CN(C(=O)C2=C(O1)C=CC(=C2)NS(=O)(=O)C3=CC=C(C=C3)F)[C@H](C)CO)C)CN(C)CC4CCCCC4,Active,49,,,=,12.97,4.887,,,,,,,,,,,,,,,,,,,,,,2,49,,=,12.97,4.887,1.6,1.721,-100,15,-83.655,35,35,,0.786,,,3.039,,,-0.515,,,,-8.347,,,-8.842,,,-33.63,,,-55.604,,,-83.655
1542,131461915,54666402,CC(C)CC#CC1=CC=C(C=C1)[C@H]2[C@@H]3CN(CCCCN3[C@H]2CO)S(=O)(=O)C4=CC=CC(=C4)OC,Active,48,,,=,14.6,4.836,,,,,,,,,,,,,,,,,,,,,,2,48,,=,14.6,4.836,4,-1.413,-100,15,-121.953,35,35,,,-0.356,,,-1.81,,,-2.802,,,-2.002,,,,0.861,,,-15.776,,,-67.922,,-121.953
1543,87539566,44616366,C[C@H]1CCCCO[C@@H]([C@H](CN(C(=O)C2=C(O1)C=CC(=C2)NS(=O)(=O)C3=CC=C(C=C3)Cl)[C@@H](C)CO)C)CN(C)CC4=CC=C(C=C4)C(F)(F)F,Active,53,,,=,4.73,5.325,,,,,,,,,,,,,,,,,,,,,,2,53,,=,4.73,5.325,2.432,0,-100,15,-121.678,35,35,,3.553,,,-2.949,,,-5.897,,,,-11.104,,,-44.195,,,-74.87,,,-98.851,,,-121.678
1544,87543296,44620089,C[C@H]1CCCCO[C@H]([C@@H](CN(C(=O)C2=C(O1)C=CC(=C2)NS(=O)(=O)C3=CC=C(C=C3)Cl)[C@H](C)CO)C)CN(C)S(=O)(=O)C4=CC=C(C=C4)C,Active,51,,,=,7.27,5.138,,,,,,,,,,,,,,,,,,,,,,2,51,,=,7.27,5.138,2.486,5.448,-100,15,-113.007,35,35,,12.361,,,7.657,,,2.084,,,,-4.906,,,-20.603,,,-45.319,,,-95.12,,,-113.007
1545,85802255,44495415,C[C@H]1CN(C(=O)CC2=C(C=CC(=C2)NS(=O)(=O)C3=CC=C(C=C3)OC)O[C@@H]1CN(C)CC4=CC=C(C=C4)C(F)(F)F)[C@@H](C)CO,Active,52,,,=,6.21,5.207,,,,,,,,,,,,,,,,,,,,,,2,52,,=,6.21,5.207,2.501,12.117,-124.287,16,-125.901,30,30,,14.535,,,13.068,,,9.558,,,-0.201,,,,-19.901,,,-82.5,,,-105.333,,-125.901,
1546,87218847,44537734,C[C@@H]1CN(C(=O)CC2=C(C=CC(=C2)NS(=O)(=O)C3=CC=CC=C3)O[C@H]1CN(C)CC4=CC(=C(C=C4)Cl)Cl)[C@@H](C)CO,Active,56,,,=,2.42,5.616,,,,,,,,,,,,,,,,,,,,,,2,56,,=,2.42,5.616,4,-12.323,-122.332,15,-123.623,16,35,,-10.248,,,-15.421,,,-14.545,,,,-50.089,,,-116.81,,,-116.954,,,-123.623,,,-121.901
1547,131411836,54616781,C[C@@H]1CCCCO[C@@H]([C@@H](CN(C(=O)C2=C(O1)C=CC(=C2)NS(=O)(=O)C3=CC=C(C=C3)Cl)[C@@H](C)CO)C)CN(C)C(=O)C4CCCCC4,Active,50,,,=,10.77,4.968,,,,,,,,,,,,,,,,,,,,,,2,50,,=,10.77,4.968,2.676,-15.127,-100,15,-117.343,35,35,,-13.506,,,-10.82,,,-18.58,,,,-16.582,,,-24.169,,,-41.837,,,-74.622,,,-117.343
1548,87540438,44617234,C[C@H]1CCCCO[C@H]([C@H](CN(C(=O)C2=C(O1)C=CC(=C2)NC(=O)NC3=CC=CC=C3)[C@H](C)CO)C)CN(C)CC4=CC(=C(C=C4)Cl)Cl,Active,49,,,=,11.86,4.926,,,,,,,,,,,,,,,,,,,,,,2,49,,=,11.86,4.926,2.536,-2.499,-100,13,-109.791,35,35,,-6.274,,,-0.464,,,-0.844,,,,-0.668,,,-13.746,,,-29.02,,,-65.421,,,-109.791
1549,131409441,54614461,C[C@H]1CN(C(=O)CC2=C(C=CC(=C2)NC(=O)NC3=CC4=C(C=C3)OCO4)O[C@@H]1CN(C)CC5=CC=C(C=C5)C6=CC=CC=C6)[C@@H](C)CO,Active,53,,,=,5.45,5.264,,,,,,,,,,,,,,,,,,,,,,2,53,,=,5.45,5.264,3.98,-8.774,-110.663,15,-112.435,35,35,,-9.164,,,-3.891,,,-9.915,,,,-15.513,,,-34.165,,,-93.653,,,-106.654,,,-112.435
1550,131421177,54625600,C[C@@H]1CN(S(=O)(=O)C2=C(C=C(C=C2)C#CCC(C)C)O[C@H]1CN(C)CC3=CC=NC=C3)[C@H](C)CO,Active,54,,,=,4.41,5.356,,,,,,,,,,,,,,,,,,,,,,2,54,,=,4.41,5.356,2.126,-8.171,-100,13,-114.985,16,16,,-7.976,,,-7.053,,,-13.866,,,,-24.708,,,-52.568,,,-74.035,,,-114.985,,,
