PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,AC50_Qualifier,AC50_uM,pAC50_M,ACTIVITY_OUTCOME_TEST1,ACTIVITY_SCORE_TEST1,ASSAYDATA_COMMENT_TEST1,AC50_Qualifier_TEST1,AC50_uM_TEST1,pAC50_M_TEST1,Hill_Slope_TEST1,S0_(%)_TEST1,Sinf_(%)_TEST1,Num_Points_TEST1,Max_Activity_(%)_TEST1,Max_Activity_Conc_uM_TEST1,Max_Concentration_uM_TEST1,Activity_at_0.009uM_(%)_TEST1,Activity_at_0.01uM_(%)_TEST1,Activity_at_0.011uM_(%)_TEST1,Activity_at_0.012uM_(%)_TEST1,Activity_at_0.016uM_(%)_TEST1,Activity_at_0.0285uM_(%)_TEST1,Activity_at_0.03uM_(%)_TEST1,Activity_at_0.035uM_(%)_TEST1,Activity_at_0.05uM_(%)_TEST1,Activity_at_0.08uM_(%)_TEST1,Activity_at_0.09uM_(%)_TEST1,Activity_at_0.1uM_(%)_TEST1,Activity_at_0.11uM_(%)_TEST1,Activity_at_0.15uM_(%)_TEST1,Activity_at_0.235uM_(%)_TEST1,Activity_at_0.285uM_(%)_TEST1,Activity_at_0.3uM_(%)_TEST1,Activity_at_0.35uM_(%)_TEST1,Activity_at_0.46uM_(%)_TEST1,Activity_at_0.75uM_(%)_TEST1,Activity_at_0.8uM_(%)_TEST1,Activity_at_0.9uM_(%)_TEST1,Activity_at_1uM_(%)_TEST1,Activity_at_1.35uM_(%)_TEST1,Activity_at_2.1uM_(%)_TEST1,Activity_at_2.6uM_(%)_TEST1,Activity_at_2.85uM_(%)_TEST1,Activity_at_3uM_(%)_TEST1,Activity_at_3.8uM_(%)_TEST1,Activity_at_6.8uM_(%)_TEST1,Activity_at_7.5uM_(%)_TEST1,Activity_at_8uM_(%)_TEST1,Activity_at_9uM_(%)_TEST1,Activity_at_12uM_(%)_TEST1,Activity_at_19.5uM_(%)_TEST1,Activity_at_23.5uM_(%)_TEST1,Activity_at_26uM_(%)_TEST1,Activity_at_35uM_(%)_TEST1,ACTIVITY_OUTCOME_TEST2,ACTIVITY_SCORE_TEST2,ASSAYDATA_COMMENT_TEST2,AC50_Qualifier_TEST2,AC50_uM_TEST2,pAC50_M_TEST2,Hill_Slope_TEST2,S0_(%)_TEST2,Sinf_(%)_TEST2,Num_Points_TEST2,Max_Activity_(%)_TEST2,Max_Activity_Conc_uM_TEST2,Max_Concentration_uM_TEST2,Activity_at_0.011uM_(%)_TEST2,Activity_at_0.035uM_(%)_TEST2,Activity_at_0.1uM_(%)_TEST2,Activity_at_0.3uM_(%)_TEST2,Activity_at_0.9uM_(%)_TEST2,Activity_at_2.85uM_(%)_TEST2,Activity_at_8uM_(%)_TEST2,Activity_at_26uM_(%)_TEST2
33,131428133,54631890,C[C@@H]1CN([C@H](COC2=C(C=CC(=C2)NC(=O)COC)C(=O)N(C[C@H]1OC)C)C)CC3CC3,Inactive,0,,,,,,1,0,,,,,,1.43772,1.43772,16,4.842,0.9,23.5,,,3.965,,,,,0.417,,,,0.353,,,,,3.206,,,,,4.842,,,,,1.008,,,,,-1.878,,,,-0.411,,,,,,,,,,,,,,,,,,,,,,,
34,131429301,54633051,C[C@@H]1CN([C@H](COC2=C(C=CC(=C2)NC(=O)C3=CC=CC=C3)C(=O)N(C[C@H]1OC)C)C)C(=O)C4CC4,Inactive,0,,,,,,1,0,,,,,,-2.07931,-2.07931,16,-10.238,26,26,,,2.659,,,,,-1.319,,,,0.913,,,,,2.48,,,,,-0.857,,,,,-4.534,,,,,-5.739,,,,,-10.238,,,,,,,,,,,,,,,,,,,,,,
35,131434512,54638235,C1CCC(CC1)NC(=O)N[C@H]2C=C[C@H](O[C@@H]2CO)CC(=O)N3CCOCC3,Inactive,0,,,,,,1,0,,,,,,-2.04122,-2.04122,16,-8.353,0.3,26,,,,0.509,,,,-2.441,,,,-0.21,,,,,-8.353,,,,,1.596,,,,,-1.826,,,,,-3.909,,,,,-1.696,,,,,,,,,,,,,,,,,,,,,,
36,162010607,,,Inactive,0,,,,,,1,0,,>,52,4.284,0.793,0.513,-100,15,-18.989,26,26,,,-0.796,,,,,0.03,,,,0.786,,,,,2.046,,,,,-0.551,,,,,-4.19,,,,,-8.374,,,,,-18.989,,,,,,,,,,,,,,,,,,,,,,
37,131432237,54635977,CCCN1C[C@@H]([C@H](CN(C(=O)C2=C(C=C(C=C2)NC(=O)CC)OC[C@@H]1C)C)OC)C,Inactive,0,,,,,,1,0,,,,,,-0.931401,-0.931401,16,-2.534,26,26,,,-0.068,,,,,-1.845,,,,-0.966,,,,,1.994,,,,,-0.922,,,,,-0.602,,,,,-2.507,,,,,-2.534,,,,,,,,,,,,,,,,,,,,,,
38,131463246,54667733,C1CCN2[C@@H](CN(C1)CC3=CN=CC=C3)[C@H]([C@@H]2CO)C4=CC=C(C=C4)C5=CC=C(C=C5)F,Inactive,0,,,,,,1,0,,,,,,-1.96028,-1.96028,16,-7.644,0.1,26,,,-3.542,,,,,-6.519,,,,-7.644,,,,,-1.701,,,,,4.113,,,,,-0.407,,,,,2.129,,,,,-2.111,,,,,,,,,,,,,,,,,,,,,,
39,131458760,54662819,CCCNC(=O)[C@@H]1[C@H]([C@@H]2CN3C(=CC=C(C3=O)C4=CC=CC=C4)[C@@H]2N1CC5CC5)CO,Inactive,0,,,,,,1,0,,,,,,-5.44874,-5.44874,16,-13.193,26,26,,,-4.832,,,,,-4.291,,,,-0.952,,,,,2.207,,,,,-5.411,,,,,-8.946,,,,,-8.172,,,,,-13.193,,,,,,,,,,,,,,,,,,,,,,
40,131431198,54634939,C[C@@H]1CN([C@@H](COC2=C(C=CC(=C2)NC(=O)C3CC3)C(=O)N(C[C@@H]1OC)C)C)CC4=CC=CC=C4,Inactive,0,,,,,,1,0,,,,,,3.53549,3.53549,16,4.907,0.011,26,,,4.907,,,,,3.14,,,,1.607,,,,,4.706,,,,,4.592,,,,,3.78,,,,,0.839,,,,,4.714,,,,,,,,,,,,,,,,,,,,,,
41,131432234,54635974,CCCN1C[C@@H]([C@@H](CN(C(=O)C2=C(C=C(C=C2)NC(=O)CC)OC[C@@H]1C)C)OC)C,Inactive,0,,,,,,1,0,,,,,,-7.78448,-7.78448,16,-13.983,26,26,,,-1.96,,,,,-2.106,,,,-1.043,,,,,-8.883,,,,,-10.478,,,,,-12.056,,,,,-11.767,,,,,-13.983,,,,,,,,,,,,,,,,,,,,,,
42,131432241,54635981,CCC(=O)NC1=CC2=C(C=C1)C(=O)N(C[C@H]([C@H](CN([C@H](CO2)C)C(=O)CC)C)OC)C,Inactive,0,,,,,,1,0,,,,,,-0.649057,-0.649057,16,-3.442,0.1,26,,,1.21,,,,,-0.06,,,,-3.442,,,,,0.484,,,,,1.703,,,,,-1.46,,,,,-2.76,,,,,-0.867,,,,,,,,,,,,,,,,,,,,,,
