PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,AC50_Qualifier,AC50_uM,pAC50_M,ACTIVITY_OUTCOME_TEST1,ACTIVITY_SCORE_TEST1,ASSAYDATA_COMMENT_TEST1,AC50_Qualifier_TEST1,AC50_uM_TEST1,pAC50_M_TEST1,Hill_Slope_TEST1,S0_(%)_TEST1,Sinf_(%)_TEST1,Num_Points_TEST1,Max_Activity_(%)_TEST1,Max_Activity_Conc_uM_TEST1,Max_Concentration_uM_TEST1,Activity_at_0.009uM_(%)_TEST1,Activity_at_0.01uM_(%)_TEST1,Activity_at_0.011uM_(%)_TEST1,Activity_at_0.012uM_(%)_TEST1,Activity_at_0.016uM_(%)_TEST1,Activity_at_0.0285uM_(%)_TEST1,Activity_at_0.03uM_(%)_TEST1,Activity_at_0.035uM_(%)_TEST1,Activity_at_0.05uM_(%)_TEST1,Activity_at_0.08uM_(%)_TEST1,Activity_at_0.09uM_(%)_TEST1,Activity_at_0.1uM_(%)_TEST1,Activity_at_0.11uM_(%)_TEST1,Activity_at_0.15uM_(%)_TEST1,Activity_at_0.235uM_(%)_TEST1,Activity_at_0.285uM_(%)_TEST1,Activity_at_0.3uM_(%)_TEST1,Activity_at_0.35uM_(%)_TEST1,Activity_at_0.46uM_(%)_TEST1,Activity_at_0.75uM_(%)_TEST1,Activity_at_0.8uM_(%)_TEST1,Activity_at_0.9uM_(%)_TEST1,Activity_at_1uM_(%)_TEST1,Activity_at_1.35uM_(%)_TEST1,Activity_at_2.1uM_(%)_TEST1,Activity_at_2.6uM_(%)_TEST1,Activity_at_2.85uM_(%)_TEST1,Activity_at_3uM_(%)_TEST1,Activity_at_3.8uM_(%)_TEST1,Activity_at_6.8uM_(%)_TEST1,Activity_at_7.5uM_(%)_TEST1,Activity_at_8uM_(%)_TEST1,Activity_at_9uM_(%)_TEST1,Activity_at_12uM_(%)_TEST1,Activity_at_19.5uM_(%)_TEST1,Activity_at_23.5uM_(%)_TEST1,Activity_at_26uM_(%)_TEST1,Activity_at_35uM_(%)_TEST1,ACTIVITY_OUTCOME_TEST2,ACTIVITY_SCORE_TEST2,ASSAYDATA_COMMENT_TEST2,AC50_Qualifier_TEST2,AC50_uM_TEST2,pAC50_M_TEST2,Hill_Slope_TEST2,S0_(%)_TEST2,Sinf_(%)_TEST2,Num_Points_TEST2,Max_Activity_(%)_TEST2,Max_Activity_Conc_uM_TEST2,Max_Concentration_uM_TEST2,Activity_at_0.011uM_(%)_TEST2,Activity_at_0.035uM_(%)_TEST2,Activity_at_0.1uM_(%)_TEST2,Activity_at_0.3uM_(%)_TEST2,Activity_at_0.9uM_(%)_TEST2,Activity_at_2.85uM_(%)_TEST2,Activity_at_8uM_(%)_TEST2,Activity_at_26uM_(%)_TEST2
232,49668933,2287010,COC1=CC=CC=C1N(CC(=O)NCCSCC2=CC=CC=C2Cl)S(=O)(=O)C,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,4.56608,4.56608,16,9.233,0.035,26,4.404,9.233,5.881,8.281,3.909,6.002,-0.24,-0.942
233,89853970,254897,CC1=NN=C(S1)NS(=O)(=O)C2=CC=C(C=C2)N=NC3=C(N=C(C=C3)N)N,Active,55,,,=,3.23,5.491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,55,,=,3.23,5.491,3.115,-2.383,-52.575,16,-51.494,26,26,-1.571,-1.868,-0.62,-2.801,-6.286,-22.207,-50.988,-51.494
234,24837463,2473868,CN(C)CCNC(=O)C1=CC(=CC=C1)S(=O)(=O)NC2=CC=CC=C2F,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,0.400924,0.400924,16,3.111,0.011,26,3.111,1.225,2.098,0.284,1.889,-0.361,-2.007,-3.031
235,89853975,254944,C1C(=NNC1=O)CC(=O)NN,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-1.47912,-1.47912,15,-24.79,26,26,-2.272,-4.144,6.729,4.219,7.929,2.994,2.205,-24.79
236,92764784,378196,C1CN(CCN1CCOCCO)C2=C(C3=C(C(=O)C=CC3=O)C(=C2Br)O)O.Cl,Active,65,,,=,0.343,6.465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,65,,=,0.343,6.465,1.262,-2.17,-98.156,16,-98.289,26,26,-4.099,-6.254,-19.349,-45.908,-76.813,-90.954,-96.437,-98.289
237,99454467,46942734,CCC1=C(N2C=CC=C(C2=N1)OCC3=CC=C(C=C3)C(=O)OC)N(C)C(=O)C4=CC=C(C=C4)C,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,>,52,4.284,1.655,3.482,-100,16,-13.611,26,26,-0.512,4.19,3.193,5.565,2.782,6.039,-0.452,-13.611
238,49668215,24761346,CC1=C(C(=NO1)C2=CC(=C(C(=C2)OC)OC)OC)/C=C/C3=CC=C(C=C3)C(=O)O,Active,46,,,=,23.21,4.634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,46,,=,23.21,4.634,0.703,3.193,-100,16,-49.011,26,26,-0.248,2.61,1.001,2.05,-6.211,-16.155,-32.19,-49.011
239,121283517,4813,C1=CC(=C(C=C1C=CC2=CC(=CC(=C2)O)O)O)O,Active,59,,,=,1.2,5.921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,59,,=,1.2,5.921,1.082,-4.296,-96.446,15,-93.372,26,26,-5.195,-7.026,-4.866,-23.835,-41.497,-71.673,-85.382,-93.372
240,57259953,16329946,COC1=C(C=C(C=C1)C(=O)OCC(=O)NC2=NC=C(S2)[N+](=O)[O-])OC,Active,53,,,=,4.75,5.323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,53,,=,4.75,5.323,1.05,5.079,-100,15,-83.259,26,26,1.304,6.062,3.196,2.402,-10.666,-34.459,-62.136,-83.259
241,26666366,281376,C1=CC(=CC=C1N=NC2=CNC(=O)C(=C2)O)S(=O)(=O)N,Active,55,,,=,3.44,5.463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,55,,=,3.44,5.463,1.574,4.023,-100,16,-94.024,26,26,6.19,2.86,4.323,-0.097,-7.516,-39.361,-79.821,-94.024
242,57258574,4383427,C1CCC(C1)C(=O)NC2=CC3=C(C=C2)OCCO3,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,5.058,100,16,69.784,26,26,0.434,6.597,6.231,8.56,10.503,21.306,36.834,69.784
243,87338067,2931982,COC1=CC(=C(C=C1C2=C3C=C(C(=O)C=C3OC4=CC(=C(C=C42)O)O)O)OC)OC,Active,74,,,=,0.0367,7.435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,74,,=,0.0367,7.435,3.094,0,-86.292,14,-94.094,0.9,8,1.515,-40.657,-79.835,-93.467,-94.094,-90.252,-69.592,
244,103076440,4828996,CC1=CC(=C(C=C1)C)N2C(=O)CCC(=N2)C(=O)OCC3=NN=C(O3)C4=CC=CC=C4Br,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-1.8241,-1.8241,16,-11.291,26,26,1.048,-0.769,2.996,2.661,0.655,-2.977,-6.916,-11.291
245,17413496,2055729,CC1=CC=C(N1C2=C(C3=C(S2)CCCC3)C(=O)O)C,Active,52,,,=,6.02,5.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,52,,=,6.02,5.22,0.879,7.562,-100,15,-72.584,26,26,4.804,8.007,4.488,1.73,-10.92,-25.024,-65.238,-72.584
246,121285867,51361188,C1OC2=C(O1)C=C(C=C2)C3=C(C(=O)NN3)NC(=O)C4=CC=CC=C4,Active,43,,,=,47.48,4.323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,43,,=,47.48,4.323,1.572,1.035,-100,16,-27.18,26,26,-0.409,-0.076,1.449,2.318,1.537,0.148,-4.995,-27.18
247,47193877,86,C1=CC(=C(C(=C1)O)N)C(=O)O,Active,58,,,=,1.59,5.799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,58,,=,1.59,5.799,0.5,14.233,-100,15,-74.035,26,26,2.215,2.315,-9.678,-18.798,-37.425,-51.703,-65.54,-74.035
248,89854889,244633,C1=CC=C(C(=C1)C=C2C(=O)NC(=O)S2)[N+](=O)[O-],Active,54,,,=,3.66,5.437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,54,,=,3.66,5.437,2.485,6.283,-101.112,15,-99.811,26,26,6.688,6.751,7.707,5.531,-1.201,-30.65,-88.38,-99.811
249,49823732,56642873,C1=CC=C2C(=C1)C(=CN2CC3=CC(=CC=C3)F)/C=N/NC(=O)C4=CC(=CC(=C4)O)O,Active,63,,,=,0.461,6.336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,63,,=,0.461,6.336,0.968,2.024,-88.039,16,-86.774,26,26,-1.149,-4.849,-12.476,-35.642,-57.156,-73.334,-83.1,-86.774
250,143472045,1261822,CC1=CC(=C2C(=C1)C(=CC(=N2)C3=CC=CC=N3)C(=O)NC4=CC=C(C=C4)S(=O)(=O)NC5=C(C(=NO5)C)C)C,Active,48,,,=,14.67,4.834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,48,,=,14.67,4.834,0.69,6.907,-100,15,-56.917,26,26,7.081,2.866,5.536,-0.441,-6.588,-19.309,-35.553,-56.917
251,56314896,24978688,CC1=C(C=CC(=C1)N2CCCC2)NC(=O)CN3C(=O)C4(CCCCC4)NC3=O,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,>,52,4.284,1.016,8.202,-100,15,-14.807,26,26,9.823,5.101,10.111,5.878,7.737,3.786,1.224,-14.807
252,24805352,103148,CC1=NC2=C(C=C1)C=C(C=C2)N,Active,49,,,=,14.21,4.847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,48,,=,14.21,4.847,3.762,5.016,-100,15,-90.167,26,26,2.456,4.669,5.081,4.957,5.662,5.785,-5.883,-90.167
253,49729231,1630007,C1=CC=C(C(=C1)COC2=C(C=C(C=C2)[N+](=O)[O-])/C=C/3\C(=O)N(C(=S)S3)CC(=O)O)Cl,Active,49,,,=,12.87,4.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,49,,=,12.87,4.89,1.2,-2.184,-100,16,-72.396,26,26,-4.594,-3.396,1.439,-2.017,-5.652,-20.483,-33.655,-72.396
254,26725822,5431119,C1=CN(C(=C1)/C=N\NC(=O)C2=CC3=C(O2)C=CC(=C3)Br)C4=CC=C(C=C4)C(=O)O,Active,61,,,=,0.801,6.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,61,,=,0.801,6.096,0.809,2.037,-82.814,16,-79.953,26,26,-2.401,-3.375,-8.894,-24.531,-45.499,-58.548,-69.413,-79.953
255,85146219,736269,CC(=O)N1CCN(CC1)C2=CC=C(C=C2)N,Active,50,,,=,11.15,4.953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,50,,=,11.15,4.953,1.871,5.658,-100,15,-82.126,26,26,5.707,6.158,6.075,5.351,3.883,-2.015,-31.044,-82.126
256,85271602,4333478,CC(=O)NC1=CC=C(C=C1)C=NNC2=C(C=C(C=C2)[N+](=O)[O-])S(=O)(=O)NC3=CC=CC=C3C(=O)O,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,>,52,4.284,0.915,4.787,-100,15,-29.289,26,26,4.86,4.444,4.723,4.041,2.292,-1.646,-9.512,-29.289
257,57263880,8108859,COC1=CC=CC(=C1O)C(=O)OCC(=O)NC2=C(C3=C(S2)CCC3)C(=O)N,Active,48,,,=,17.73,4.751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,48,,=,17.73,4.751,0.61,6.455,-100,15,-50.555,26,26,3.571,2.41,4.186,-0.17,-6.26,-21.183,-40.342,-50.555
258,26665336,224922,C1=CC2=C(C=CC=C2[As](=O)(O)O)C(=C1)N,Active,57,,,=,2.05,5.688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,57,,=,2.05,5.688,1.565,-0.764,-98.193,16,-96.992,26,26,-0.961,-0.444,-2.994,-4.063,-21.914,-62.164,-86.889,-96.992
259,24809205,3164059,CCCC1=NN(C2=NC(=O)N(C(=O)C2=N1)C)C,Active,72,,,=,0.0636,7.197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,72,,=,0.0636,7.197,1.558,0,-100.759,16,-99.803,26,26,-7.911,-28.873,-65.469,-96.023,-99.69,-99.762,-99.772,-99.803
260,49823646,25237285,C1=CC=C2C(=C1)C(=CN2CC3=CC=C(C=C3)F)/C=N/NC(=O)C4=CC=C(C=C4)N,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,2.30844,2.30844,16,5.088,0.1,26,-0.893,0.554,5.088,4.095,5.04,2.907,3.759,-2.083
261,24822970,1909161,C1=CC=C(C=C1)N2C(=O)/C(=C/C3=CC=C(S3)[N+](=O)[O-])/C(=O)NC2=O,Active,45,,,=,33.27,4.478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,45,,=,33.27,4.478,1.319,3.681,-100,16,-39.405,26,26,-1.774,1.598,5.689,4.739,7.581,0.193,-11.404,-39.405
262,24804123,2163119,CC(=O)NC1=CC=C(C=C1)S(=O)(=O)OC2=C(C=CC(=C2)/C=C\3/C(=O)NC(=S)S3)OC,Active,48,,,=,17.05,4.768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,48,,=,17.05,4.768,0.923,3.223,-100,16,-57.213,26,26,-1.091,2.661,4.101,3.151,-1.599,-14.085,-32.541,-57.213
263,47203408,2851825,CC1=NC2=CC=CC=C2N1CCOC3=CC=CC=C3,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,1.04513,1.04513,16,5.457,0.035,26,1.006,5.457,0.827,5.052,0.254,2.284,-2.891,-3.627
264,57260702,16317151,CN(CC1=CC=CC=C1OC)C(=O)CN2CCN(CC2)CC(=O)NC3=CC=CC=C3Cl,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,4.18349,4.18349,16,7.384,0.3,26,5.296,4.36,3.848,7.384,3.509,4.917,1.922,2.231
265,99357753,54677783,CC(C)C1=CC=C(C=C1)C(C2=C(C3=CC=CC=C3OC2=O)O)C4=C(C5=CC=CC=C5OC4=O)O,Active,52,,,=,6.05,5.218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,52,,=,6.05,5.218,1.427,-1.315,-100,15,-93.497,26,26,1.495,-1.043,-1.958,-1.91,-12.743,-24.483,-59.741,-93.497
266,49678938,6079403,CN(C)/C=C/C1=C(C(=NS1)SCC2=CC=CC=C2C(=O)OC)C#N,Active,45,,,=,34.45,4.463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,45,,=,34.45,4.463,0.553,7.291,-100,16,-38.521,26,26,1.442,3.151,7.212,2.731,0.434,-19.559,-29.967,-38.521
267,99495538,5037728,CC1=CC2=NNC(=S)N2C=C1,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,3.63382,3.63382,16,6.482,0.9,26,0.671,3.827,5.007,3.517,6.482,4.865,2.027,2.674
268,47194040,16727385,C1=CC=C2C(=C1)C=C(NC2=O)NC3=CC=CC=C3Cl,Active,54,,,=,3.75,5.426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,54,,=,3.75,5.426,4,-2.185,-100.109,15,-99.611,26,26,-2.653,2.19,-2.936,-1.018,-11.472,-26.429,-96.172,-99.611
269,49824138,25237431,C/C(=N\NC(=O)C1=C(C=CC(=C1)O)O)/C2=CC(=CC=C2)NC(=O)C3=CC(=CC=C3)Cl,Active,59,,,=,1.18,5.928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,59,,=,1.18,5.928,1.532,5.005,-44.995,16,-54.054,8,26,4.996,1.837,2.527,-4.256,-12.31,-32.399,-54.054,-29.838
270,49675416,4847534,CCOC1=CC(=C(C=C1NS(=O)(=O)C2=C(C=CC(=C2)NC(=O)C)OC)OCC)N3CCOCC3,Active,45,,,=,34.46,4.463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,45,,=,34.46,4.463,0.898,4.224,-100,16,-41.838,26,26,2.812,6.224,4.28,4.21,-4.167,-4.608,-16.969,-41.838
271,57268495,25163608,CCOC1=C(C=C(C=C1)NC(=O)CN(C)C(=O)C2=CC(=NC3=CC=CC=C32)C)OCC,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-0.155196,-0.155196,16,-4.004,26,26,2.551,-1.652,2.103,1.041,0.145,-0.261,-1.164,-4.004
272,24793468,818781,CC1=CC(=C(N1C2=CC(=C(C=C2)Cl)C(=O)O)C)C=O,Active,58,,,=,1.47,5.833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,58,,=,1.47,5.833,0.937,3.519,-78.47,15,-73.266,26,26,2.22,1.087,-1.95,-10.996,-29.262,-48.92,-64.921,-73.266
273,47194052,16727376,C1=CC=C(C=C1)NC2=CC3=C(C=CC(=C3)Br)C(=O)N2,Active,52,,,=,6.04,5.219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,52,,=,6.04,5.219,1.936,3.8,-100,15,-97.01,26,26,2.067,5.174,4.358,5.662,-1.092,-16.337,-59.566,-97.01
274,26670571,135614526,C1=CC(=C(C=C1S(=O)(=O)N)[N+](=O)[O-])N/N=C/C2=C(C(=C(C=C2)O)O)O,Active,65,,,=,0.351,6.455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,65,,=,0.351,6.455,1.573,6.973,-94.753,16,-97.182,26,26,5.715,3.216,-2.169,-39.753,-75.169,-88.583,-93.984,-97.182
275,14733920,1232495,C1CCN(C1)C(=O)C2=CC=C(C=C2)NC(=O)C3=CC4=C(C=C3)OCO4,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-3.07243,-3.07243,16,-4.11,0.035,26,-3.735,-4.11,-0.358,-3.785,-2.466,-3.538,-2.684,-3.904
276,49647104,16410318,C1C[C@H]([C@H](CC1)/[N+](=C/C2=CC=C(O2)[N+](=O)[O-])/[O-])/[N+](=C/C3=CC=C(O3)[N+](=O)[O-])/[O-],Active,44,,,=,41.09,4.386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,44,,=,41.09,4.386,0.779,8.581,-100,16,-36.187,26,26,8.335,8.864,7.405,7.113,0.469,-1.455,-15.568,-36.187
277,26669977,2423787,C1=CC2=C(C=C1C(=O)O)N(N=N2)O,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,4.7642,4.7642,16,8.202,2.85,26,1.852,7.496,5.305,3.537,4.3,8.202,2.93,4.491
278,26665710,135403797,C1=CC2=CC(=C(C(=C2C(=O)C(=C1)O)O)O)O,Active,71,,,=,0.0804,7.095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,71,,=,0.0804,7.095,1.725,-0.78,-97.838,15,-98.348,26,26,-3.806,-19.499,-58.21,-88.95,-96.07,-97.247,-97.819,-98.348
279,47203811,670141,CCOC1=CC=CC=C1NC(=O)CC2=CC=CS2,Active,48,,,=,16.7,4.777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,48,,=,16.7,4.777,0.822,7.351,-100,16,-54.738,26,26,4.335,8.15,6.198,5.69,-4.241,-9.661,-33.606,-54.738
280,49826424,3702296,C1=COC(=C1)CN2C(=O)C3=C(C2=O)C=C(C=C3)C(=O)NC4=C(C=CC(=C4)[N+](=O)[O-])O,Active,47,,,=,18.52,4.732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,47,,=,18.52,4.732,1.111,6.842,-100,15,-56.726,26,26,7.303,5.013,8.544,4.52,4.306,-6.098,-22.11,-56.726
281,24780416,948690,COC(=O)C1=CC=C(O1)COC2=C3C(=CC(=C2)[N+](=O)[O-])C=CC=N3,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,>,52,4.284,1.142,-3.967,-100,16,-23.986,26,26,-5.165,-6.413,-0.768,-4.696,-1.319,-9.226,-8.862,-23.986
282,24818586,725463,C1=CC=C2C(=C1)C(=NC=N2)NC3=CC=C(C=C3)OC(=O)C4=CN=CC=C4,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,2.48008,2.48008,16,8.224,0.9,26,0.101,-1.517,5.124,2.728,8.224,2.761,6.254,-3.833
283,26665872,224275,C1=CC2=C(C=C(C=C2)[As](=O)(O)O)C(=C1)N,Active,49,,,=,12.42,4.906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,49,,=,12.42,4.906,1.412,2.869,-100,16,-74.361,26,26,1.399,1.975,5.005,3.231,1.378,-11.898,-30.791,-74.361
284,24787024,5769374,CC1=CC(=C(N1C2=CC=CC=C2)C)/C=C\C3=NC(=C(C(=O)N3)[N+](=O)[O-])O,Active,47,,,=,19.19,4.717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,47,,=,19.19,4.717,0.701,6.907,-100,16,-51.867,26,26,6.195,3.339,6.59,1.574,-3.299,-16.603,-30.657,-51.867
285,49828764,25237265,C1=CC=C(C(=C1)C(=O)OC2=CC=C(C=C2)/C=N/NC(=O)C3=CC(=CC(=C3)O)O)Cl,Active,60,,,=,1.11,5.955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,60,,=,1.11,5.955,0.999,4.685,-89.086,15,-85.81,26,26,1.096,2.972,-3.142,-14.085,-39.117,-61.666,-77.263,-85.81
286,57260231,9361234,COC(=O)C1=CC(=CC=C1)NC(=O)C2=CC(=CC=C2)N3C(=O)CCC3=O,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,4.31795,4.31795,16,6.669,0.9,26,1.701,1.786,4.96,5.078,6.669,3.773,6.569,4.006
287,26670276,2424610,C1=CC(=CC=C1NC(=O)COC(=O)C2=CC=C(S2)[N+](=O)[O-])S(=O)(=O)N,Active,55,,,=,3.33,5.478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,55,,=,3.33,5.478,2.368,5.543,-93.765,15,-93.66,26,26,1.206,6.682,5.685,7.087,4.279,-35.712,-81.738,-93.66
288,49642405,750255,CN1CCN(CC1)C(=O)C2=CC(=CC(=C2)Cl)Cl,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,4.08614,4.08614,16,7.129,0.1,26,5.453,4.792,7.129,3.823,3.831,2.3,4.33,1.032
289,24797658,601953,C1=CC2=C(C=C1F)NC(=O)C(=O)N2,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,>,52,4.284,0.802,5.68,-100,16,-11.483,26,26,2.685,8.273,4.67,7.638,1.576,4.411,-3.013,-11.483
290,24837443,6901830,C1CC1C(=O)N/N=C/C2=CC=C(O2)[N+](=O)[O-],Active,50,,,=,10.05,4.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,50,,=,10.05,4.998,0.849,4.672,-100,16,-67.229,26,26,4.543,0.08,7.151,-1.182,-7.45,-21.736,-43.256,-67.229
291,4241599,3236554,CC1=C(C=C(C=C1)NC(=O)C2=C(N=CO2)C)Cl,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,3.83075,3.83075,16,8.274,0.1,26,8.153,5.436,8.274,4.791,6.372,3.042,1.616,-7.038
292,49677695,4461971,CCN(C1=CC=CC=C1)C2=CC3=CC=CC=C3C(=O)N2,Active,53,,,=,5.45,5.264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,53,,=,5.45,5.264,1.907,2.616,-100,16,-99.28,26,26,6,1.045,7.119,-1.437,-3.707,-20.406,-65.374,-99.28
293,24819756,54678385,C1=CC=C(C=C1)CN2C3=CC=CC=C3C(=C(C2=O)C4=CC(=O)NN4)O,Active,47,,,=,19.68,4.706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,47,,=,19.68,4.706,0.591,5.61,-100,16,-46.777,26,26,1.023,3.839,0.572,2.012,-9.54,-16.165,-42.454,-46.777
