,MVSA_GPR_greedy,Greedy Acquisition,Random Sampling
0,2896.6863882541656,4.652681589126587,2.324429512023926
0,,,
0,2906.0784924030304,4.6835784912109375,2.311716318130493
0,,,
0,2892.847942352295,4.650074005126953,2.315463066101074
0,,,
0,2905.6803340911865,4.66510796546936,2.311356782913208
0,,,
0,2909.3566851615906,4.768619537353516,2.304483652114868
0,,,
0,2905.7351582050323,4.659890174865723,2.291288375854492
0,,,
0,2898.4195218086243,4.616623640060425,2.3088390827178955
0,,,
0,2892.9499559402466,4.6190571784973145,2.302779197692871
0,,,
0,2898.0891921520233,4.611297130584717,2.3051817417144775
0,,,
0,2893.5662450790405,4.596640110015869,2.3123631477355957
0,,,
