,MVSA_GPR_greedy,Greedy Acquisition,Random Sampling
0,5042.723524808884,5.239660024642944,2.7698795795440674
0,,,
0,5045.270673274994,5.218468189239502,2.7557008266448975
0,,,
0,5032.069009780884,5.207455635070801,2.785386323928833
0,,,
0,5056.7726509571075,8.516065120697021,2.755770444869995
0,,,
0,5029.82483792305,5.170067548751831,2.755037546157837
0,,,
0,5054.054451465607,5.176820755004883,2.7405331134796143
0,,,
0,5027.986079931259,5.165685415267944,2.753816843032837
0,,,
0,5021.507177591324,5.196197986602783,2.753857374191284
0,,,
0,5039.4780395030975,5.179220914840698,2.762585163116455
0,,,
0,5032.760891914368,5.1472392082214355,2.748728036880493
0,,,
