,dvrl_LGBM_greedy,Greedy Acquisition,Random Sampling
0,2107.163715362549,4.1536102294921875,2.5321385860443115
0,,,
0,2037.7724239826202,4.149416208267212,2.539909601211548
0,,,
0,2046.9895255565643,4.152459621429443,2.5528149604797363
0,,,
0,1989.25492978096,4.110543489456177,2.530848741531372
0,,,
0,2069.136353969574,4.1144444942474365,2.5350122451782227
0,,,
0,2077.0116050243378,4.124020099639893,2.5208616256713867
0,,,
0,2128.4948241710663,4.103999853134155,2.519541025161743
0,,,
0,2082.609490633011,4.111010551452637,2.519193649291992
0,,,
0,2082.7506380081177,4.110257625579834,2.5279033184051514
0,,,
0,2087.0443918704987,4.11069917678833,2.54618763923645
0,,,
