,MVSA_GPR_greedy,Greedy Acquisition,Random Sampling
0,2899.968411922455,4.657400131225586,2.297456741333008
0,,,
0,2890.5690548419952,4.6439831256866455,2.2880072593688965
0,,,
0,2890.357142686844,4.649669885635376,2.2949159145355225
0,,,
0,2909.847034931183,4.643845319747925,2.2908542156219482
0,,,
0,2903.8817880153656,4.8037824630737305,2.290234088897705
0,,,
0,2899.93123793602,4.629036903381348,2.285965919494629
0,,,
0,2893.59379529953,4.635821580886841,2.2875101566314697
0,,,
0,2899.584992170334,4.713525772094727,2.288569211959839
0,,,
0,2898.392843723297,4.742185115814209,2.2883358001708984
0,,,
0,2890.2037053108215,4.68989634513855,2.275075674057007
0,,,
