,MVSA_GPR_greedy,Greedy Acquisition,Random Sampling
0,4699.463345527649,5.147476673126221,2.76300048828125
0,,,
0,4694.744075059891,5.087483644485474,2.7566845417022705
0,,,
0,4690.206377983093,5.115433216094971,2.757577657699585
0,,,
0,4697.42667222023,5.1346447467803955,2.748107671737671
0,,,
0,4677.859627723694,5.152743577957153,2.755972146987915
0,,,
0,4688.413682937622,5.383488893508911,2.759014368057251
0,,,
0,4678.0813183784485,5.147507905960083,2.756599187850952
0,,,
0,4716.051743745804,5.126349687576294,2.750670909881592
0,,,
0,4683.022633552551,5.116600275039673,2.758028745651245
0,,,
0,4713.075797319412,5.118829965591431,2.7540199756622314
0,,,
