,MVSA_GPR_greedy,Greedy Acquisition,Random Sampling
0,3060.9773049354553,4.801454067230225,2.3626081943511963
0,,,
0,3067.610732793808,4.739876747131348,2.354670286178589
0,,,
0,3063.416929960251,4.871175527572632,2.347015619277954
0,,,
0,3070.9462018013,4.713418483734131,2.350311279296875
0,,,
0,3068.826316356659,4.723637104034424,2.3242266178131104
0,,,
0,3055.992978334427,4.726385116577148,2.3201558589935303
0,,,
0,3062.090146303177,4.80876088142395,2.328603744506836
0,,,
0,3059.6529335975647,4.772765398025513,2.311156988143921
0,,,
0,3061.162427663803,4.756957769393921,2.3368964195251465
0,,,
0,3054.424863576889,4.762048244476318,2.3294904232025146
0,,,
