,MVSA_GPR_greedy,Greedy Acquisition,Random Sampling
0,3029.1621766090393,4.722828388214111,2.3780901432037354
0,,,
0,3021.942641019821,4.733920574188232,2.359565496444702
0,,,
0,3028.57590675354,4.6896445751190186,2.3356804847717285
0,,,
0,3029.4335017204285,4.708590507507324,2.3457143306732178
0,,,
0,3038.501043319702,4.722456693649292,2.355311155319214
0,,,
0,3031.313171863556,4.731715440750122,2.351411819458008
0,,,
0,3028.0631742477417,4.733053922653198,2.330232620239258
0,,,
0,3033.6894204616547,4.696277379989624,2.334181547164917
0,,,
0,3037.2622363567352,4.738470792770386,2.3307623863220215
0,,,
0,3028.4887635707855,4.7515459060668945,2.3323936462402344
0,,,
