,MVSA_GPR_greedy,Greedy Acquisition,Random Sampling
0,4219.903252840042,5.111992359161377,2.666963577270508
0,,,
0,4233.885995149612,5.048611402511597,2.6609256267547607
0,,,
0,4243.142344713211,5.0375893115997314,2.6388344764709473
0,,,
0,4238.378047943115,5.0479912757873535,2.6558258533477783
0,,,
0,4227.762355566025,4.983997821807861,2.6444408893585205
0,,,
0,4224.078873634338,4.986302375793457,2.6525323390960693
0,,,
0,4235.672644138336,5.003573179244995,2.6433064937591553
0,,,
0,4232.196215867996,4.995070219039917,2.6386752128601074
0,,,
0,4239.5465631484985,4.976775407791138,2.638620138168335
0,,,
0,4239.960253000259,5.036012172698975,2.645336866378784
0,,,
