,MVSA_GPR_greedy,Greedy Acquisition,Random Sampling
0,4164.816579580307,5.103105306625366,2.6543991565704346
0,,,
0,4165.574015617371,5.065151691436768,2.6357288360595703
0,,,
0,4163.736827850342,5.058292627334595,2.635806083679199
0,,,
0,4184.791805505753,5.025994300842285,2.628701686859131
0,,,
0,4162.244214296341,5.020587682723999,2.622952938079834
0,,,
0,4182.0474734306335,5.058984041213989,2.632512092590332
0,,,
0,4178.759162664413,5.056025743484497,2.6297242641448975
0,,,
0,4160.954236984253,5.028884649276733,2.6384904384613037
0,,,
0,4170.167556285858,5.089401483535767,2.635167121887207
0,,,
0,4171.625154018402,5.080811262130737,2.6262614727020264
0,,,
