,MVSA_GPR_greedy,Greedy Acquisition,Random Sampling
0,3755.264983177185,4.942995548248291,2.538602352142334
0,,,
0,3766.55194067955,4.8950111865997314,2.537377119064331
0,,,
0,3765.3663873672485,4.954290151596069,2.5298187732696533
0,,,
0,3760.2174458503723,5.03569221496582,2.5300521850585938
0,,,
0,3762.9952580928802,4.88642692565918,2.523192882537842
0,,,
0,3751.07053232193,5.041693449020386,2.5217173099517822
0,,,
0,3753.7817573547363,5.004143476486206,2.5231635570526123
0,,,
0,3757.8487589359283,4.934754371643066,2.5236880779266357
0,,,
0,3758.8212287425995,4.890736103057861,2.518491268157959
0,,,
0,3768.70409822464,4.884796380996704,2.511232376098633
0,,,
