,MVSA_GPR_greedy,Greedy Acquisition,Random Sampling
0,4422.651749610901,5.054727077484131,2.6902456283569336
0,,,
0,4416.752416372299,4.993215084075928,2.6844756603240967
0,,,
0,4421.604740381241,5.038551330566406,2.67844295501709
0,,,
0,4413.059933185577,5.098650693893433,2.6718509197235107
0,,,
0,4409.677581548691,5.0920631885528564,2.6767759323120117
0,,,
0,4419.938578367233,5.046795606613159,2.672410488128662
0,,,
0,4422.823224067688,5.010861873626709,2.674024820327759
0,,,
0,4418.343295097351,4.987922430038452,2.6681227684020996
0,,,
0,4429.12427687645,4.963104248046875,2.675424098968506
0,,,
0,4419.215912103653,4.993785619735718,2.67512845993042
0,,,
