,MVSA_GPR_greedy,Greedy Acquisition,Random Sampling
0,4189.308026075363,5.088856220245361,2.6705472469329834
0,,,
0,4184.780647277832,5.2119140625,2.6649491786956787
0,,,
0,4191.282358646393,5.097231388092041,2.654107093811035
0,,,
0,4177.113178730011,5.055984973907471,2.6805155277252197
0,,,
0,4197.789140462875,5.015393018722534,2.6485414505004883
0,,,
0,4178.9282467365265,5.022361993789673,2.6379897594451904
0,,,
0,4182.9839062690735,5.087979078292847,2.6464054584503174
0,,,
0,4188.111661434174,5.090277433395386,2.6397643089294434
0,,,
0,4186.619872808456,5.064039945602417,2.6407508850097656
0,,,
0,4173.024432659149,5.063740253448486,2.6499152183532715
0,,,
