,MVSA_GPR_greedy,Greedy Acquisition,Random Sampling
0,3142.0194296836853,4.721473217010498,2.3165557384490967
0,,,
0,3155.458965063095,4.795688152313232,2.3090009689331055
0,,,
0,3156.7250311374664,4.655717134475708,2.2982075214385986
0,,,
0,3147.8889009952545,4.637392044067383,2.302252769470215
0,,,
0,3156.1810281276703,4.676592111587524,2.30183482170105
0,,,
0,3173.8802251815796,4.772089719772339,2.2924258708953857
0,,,
0,3163.449331998825,4.694510459899902,2.3021631240844727
0,,,
0,3162.72199511528,4.713726282119751,2.298947334289551
0,,,
0,3156.3520436286926,4.654396057128906,2.2874667644500732
0,,,
0,3156.050815820694,4.672513246536255,2.2993814945220947
0,,,
